# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08702 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833536750621e+01 
       2.327094530053e-05       1.050357021615e+02 
       3.616628329848e-05       1.608115792280e+02 
       4.914111723411e-05       2.162351211898e+02 
       6.223054651996e-05       2.716358343065e+02 
       7.547055041579e-05       3.272630616174e+02 
       8.889830943528e-05       3.833315744491e+02 
       1.025525409225e-04       4.400402901294e+02 
       1.164738530868e-04       4.975819120420e+02 
       1.307051218192e-04       5.561488300179e+02 
       1.452918946176e-04       6.159371401158e+02 
       1.602828258959e-04       6.771500029890e+02 
       1.757301477754e-04       7.400001699994e+02 
       1.916901801020e-04       8.047128379426e+02 
       2.082238827932e-04       8.715278337129e+02 
       2.253974525751e-04       9.407021537816e+02 
       2.432829645507e-04       1.012512386266e+03 
       2.619590566425e-04       1.087257174999e+03 
       2.815116515017e-04       1.165259640263e+03 
       3.020347056549e-04       1.246869939199e+03 
       3.236309691059e-04       1.332467508133e+03 
       3.464127299118e-04       1.422463177303e+03 
       3.705025070625e-04       1.517300893870e+03 
       3.960336410271e-04       1.617458952743e+03 
       4.231507146198e-04       1.723450193859e+03 
       4.520097178525e-04       1.835821102478e+03 
       4.827778504708e-04       1.955149282834e+03 
       5.156328373373e-04       2.082038830778e+03 
       5.507616186625e-04       2.217113120916e+03 
       5.883582749335e-04       2.361004645293e+03 
       6.286210624151e-04       2.514341419920e+03 
       6.717484770758e-04       2.677729784958e+03 
       7.179343391949e-04       2.851733898992e+03 
       7.673619998629e-04       3.036852516611e+03 
       8.201979082274e-04       3.233494160379e+03 
       8.765849276898e-04       3.441951554676e+03 
       9.366359218480e-04       3.662380479345e+03 
       1.000428210996e-03       3.894780268173e+03 
       1.067999493894e-03       4.138983297854e+03 
       1.139345718818e-03       4.394652165886e+03 
       1.214421180028e-03       4.661286247367e+03 
       1.293140846979e-03       4.938236900669e+03 
       1.375384660036e-03       5.224712760190e+03 
       1.461003306949e-03       5.519838267685e+03 
       1.549824870558e-03       5.822697132919e+03 
       1.641661723709e-03       6.132315971653e+03 
       1.736317126551e-03       6.447711923864e+03 
       1.833591120425e-03       6.767917143058e+03 
       1.933285472391e-03       7.091996439987e+03 
       2.035207572895e-03       7.419062773020e+03 
       2.139173306314e-03       7.748285628717e+03 
       2.245008993026e-03       8.078898886759e+03 
       2.352552544470e-03       8.410201310952e+03 
       2.461653986922e-03       8.741557746793e+03 
       2.572175504236e-03       9.072398001787e+03 
       2.683991133003e-03       9.402209849839e+03 
       2.796986221543e-03       9.730540745030e+03 
       2.911056741430e-03       1.005698866689e+04 
       3.026108519174e-03       1.038120058478e+04 
       3.142056437656e-03       1.070286607184e+04 
       3.258823642159e-03       1.102171466643e+04 
       3.376340774354e-03       1.133750955644e+04 
       3.494545248837e-03       1.165004714104e+04 
       3.613380580470e-03       1.195914994524e+04 
       3.732795766195e-03       1.226466747440e+04 
       3.852744721907e-03       1.256646960213e+04 
       3.973185772876e-03       1.286444780928e+04 
       4.094081194952e-03       1.315850890759e+04 
