# Matter power spectrum P(k) at redshift z=0
# for k=1.05187e-05 to 1.11941 h/Mpc,
# number of wavenumbers equal to 557
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.051870480496e-05       4.869565492112e+01 
       2.622508249788e-05       1.176963403730e+02 
       4.200469617077e-05       1.855136844682e+02 
       5.792070463846e-05       2.530122529969e+02 
       7.403769886292e-05       3.206982970571e+02 
       9.042255661331e-05       3.889706862194e+02 
       1.071453346998e-04       4.581871018886e+02 
       1.242802158654e-04       5.286913711362e+02 
       1.419065274520e-04       6.008281597048e+02 
       1.601098488465e-04       6.749527874144e+02 
       1.789832241927e-04       7.514387751910e+02 
       1.986284955209e-04       8.306843106953e+02 
       2.191577687318e-04       9.131184241465e+02 
       2.406950199674e-04       9.992068723622e+02 
       2.633778416798e-04       1.089458074605e+03 
       2.873593146794e-04       1.184428854477e+03 
       3.128099726473e-04       1.284729796332e+03 
       3.399197966874e-04       1.391030444908e+03 
       3.689001368448e-04       1.504062885179e+03 
       3.999854027105e-04       1.624623778403e+03 
       4.334342949777e-04       1.753573770778e+03 
       4.695302655891e-04       1.891832523831e+03 
       5.085808026677e-04       2.040368575768e+03 
       5.509150531567e-04       2.200181705951e+03 
       5.968792483315e-04       2.372276182583e+03 
       6.468294258955e-04       2.557624778178e+03 
       7.011210974796e-04       2.757120555168e+03 
       7.600958381449e-04       2.971521292328e+03 
       8.240652908269e-04       3.201385819104e+03 
       8.932937353034e-04       3.447011194717e+03 
       9.679810304007e-04       3.708376467736e+03 
       1.048248182561e-03       3.985103213526e+03 
       1.134127794354e-03       4.276440268451e+03 
       1.225561075334e-03       4.581278390285e+03 
       1.322402030031e-03       4.898195082641e+03 
       1.424428163132e-03       5.225524210540e+03 
       1.531355950909e-03       5.561440224520e+03 
       1.642858733857e-03       5.904045362541e+03 
       1.758584690005e-03       6.251446700493e+03 
       1.878173030885e-03       6.601823883419e+03 
       2.001267278567e-03       6.953474673727e+03 
       2.127525191525e-03       7.304848460012e+03 
       2.256625454540e-03       7.654564694837e+03 
       2.388271581083e-03       8.001416209508e+03 
       2.522193617705e-03       8.344364663019e+03 
       2.658148244814e-03       8.682538161592e+03 
       2.795917795798e-03       9.015200855751e+03 
       2.935308612548e-03       9.341755073726e+03 
       3.076149049516e-03       9.661717869643e+03 
       3.218287345501e-03       9.974707168754e+03 
       3.361589508060e-03       1.028042856165e+04 
       3.505937299705e-03       1.057866269218e+04 
       3.651226375441e-03       1.086925268551e+04 
       3.797364594249e-03       1.115209786301e+04 
       3.944270509672e-03       1.142714384384e+04 
       4.091872033997e-03       1.169436844783e+04 
       4.240105264462e-03       1.195379295164e+04 
       4.388913456999e-03       1.220545881867e+04 
       4.538246131989e-03       1.244942824927e+04 
       4.688058296756e-03       1.268578839382e+04 
       4.838309770382e-03       1.291458698862e+04 
       4.988964597673e-03       1.313603972426e+04 
       5.139990540474e-03       1.335020290454e+04 
       5.291358635895e-03       1.355714914543e+04 
       5.443042812327e-03       1.375718995278e+04 
       5.595019555307e-03       1.395032327739e+04 
       5.747267616372e-03       1.413606934797e+04 
       5.899767759008e-03       1.431584311343e+04 
       6.052502536593e-03       1.448913491645e+04 
       6.205456097988e-03       1.465608864231e+04 
       6.358614017034e-03       1.481695867067e+04 
       6.511963142737e-03       1.497189428363e+04 
       6.665491467399e-03       1.512090949624e+04 
       6.819188010327e-03       1.526399443001e+04 
       6.973042715098e-03       1.540147808148e+04 
       7.127046358617e-03       1.553352570363e+04 
       7.281190470487e-03       1.566021890704e+04 
       7.435467261381e-03       1.578162322221e+04 
       7.589869559298e-03       1.589787641229e+04 
       7.744390752740e-03       1.600922233759e+04 
       7.899024739973e-03       1.611629758334e+04 
       8.053765883632e-03       1.621812548892e+04 
       8.208608970057e-03       1.631536148481e+04 
       8.363549172796e-03       1.640813654818e+04 
       8.518582019796e-03       1.649652858792e+04 
       8.673703363874e-03       1.658064832917e+04 
       8.828909356086e-03       1.666060858605e+04 
       8.984196421689e-03       1.673653191401e+04 
       9.139561238395e-03       1.680844013078e+04 
       9.295000716689e-03       1.687654203716e+04 
       9.450511981982e-03       1.694087194599e+04 
       9.606092358399e-03       1.700155398181e+04 
       9.761739354052e-03       1.705866372400e+04 
       9.917450647628e-03       1.711227770424e+04 
       1.007322407617e-02       1.716250305949e+04 
       1.022905762393e-02       1.720940167822e+04 
       1.038494941218e-02       1.725307203712e+04 
       1.054089768989e-02       1.729359697266e+04 
       1.069690082524e-02       1.733105720748e+04 
       1.085295729777e-02       1.736554494187e+04 
       1.100906569124e-02       1.739702598404e+04 
       1.116522468703e-02       1.742567388181e+04 
       1.132143305813e-02       1.745157047920e+04 
       1.147768966356e-02       1.747474392645e+04 
       1.163399344324e-02       1.749527759013e+04 
       1.179034341333e-02       1.751324789911e+04 
       1.194673866184e-02       1.752861649812e+04 
       1.210317834462e-02       1.754159757919e+04 
       1.225966168171e-02       1.755214949297e+04 
       1.241618795388e-02       1.756035052293e+04 
       1.257275649948e-02       1.756627641652e+04 
       1.272936671154e-02       1.756999381543e+04 
       1.288601803507e-02       1.757151953270e+04 
       1.304270996454e-02       1.757092808979e+04 
       1.319944204159e-02       1.756826647014e+04 
       1.335621385288e-02       1.756362739455e+04 
       1.351302502812e-02       1.755704850861e+04 
       1.366987523820e-02       1.754841963566e+04 
       1.382676419355e-02       1.753803774985e+04 
       1.398369164251e-02       1.752569680645e+04 
       1.414065736989e-02       1.751165143691e+04 
       1.429766119565e-02       1.749590073841e+04 
       1.445470297359e-02       1.747835500720e+04 
       1.461178259025e-02       1.745919675670e+04 
       1.476889996382e-02       1.743788573045e+04 
       1.492605504315e-02       1.741605479640e+04 
       1.508324780684e-02       1.739222295258e+04 
       1.524047826239e-02       1.736675863685e+04 
       1.539774644548e-02       1.733993654358e+04 
       1.555505241916e-02       1.731162616174e+04 
       1.571239627330e-02       1.728193958053e+04 
       1.586977812394e-02       1.725090110360e+04 
       1.602719811272e-02       1.721856837621e+04 
       1.618465640646e-02       1.718496382937e+04 
       1.634215319662e-02       1.715002789819e+04 
       1.649968869895e-02       1.711392935705e+04 
       1.665726315313e-02       1.707620099783e+04 
       1.681487682239e-02       1.703746845004e+04 
       1.697252999326e-02       1.699854336984e+04 
       1.713022297531e-02       1.695773972921e+04 
       1.728795610091e-02       1.691603927714e+04 
       1.744572972506e-02       1.687310727503e+04 
       1.760354422521e-02       1.682873017631e+04 
       1.776140000116e-02       1.678388765272e+04 
       1.791929747492e-02       1.673810944380e+04 
       1.807723709065e-02       1.669187533699e+04 
       1.823521931464e-02       1.664420662453e+04 
       1.839324463522e-02       1.659515933105e+04 
       1.855131356282e-02       1.654620251823e+04 
       1.870942662995e-02       1.649548568958e+04 
       1.886758439128e-02       1.644440773000e+04 
       1.902578742367e-02       1.639310777611e+04 
       1.918403632628e-02       1.633980562807e+04 
       1.934233172069e-02       1.628639169946e+04 
       1.950067425098e-02       1.623243099183e+04 
       1.965906458395e-02       1.617747409841e+04 
       1.981750340921e-02       1.612260762639e+04 
       1.997599143944e-02       1.606590671314e+04 
       2.013452941053e-02       1.600912370391e+04 
       2.029311808186e-02       1.595169153438e+04 
       2.045175823649e-02       1.589423800462e+04 
       2.061045068149e-02       1.583504263789e+04 
       2.076919624814e-02       1.577643504310e+04 
       2.092799579227e-02       1.571678275435e+04 
       2.108685019460e-02       1.565653388287e+04 
       2.124576036101e-02       1.559526369565e+04 
       2.140472722292e-02       1.553407592693e+04 
       2.156375173768e-02       1.547245163699e+04 
       2.172283488892e-02       1.541036998080e+04 
       2.188197768699e-02       1.534775768141e+04 
       2.204118116933e-02       1.528514985102e+04 
       2.220044640097e-02       1.522124813825e+04 
       2.235977447493e-02       1.515794642921e+04 
       2.251916651276e-02       1.509341651413e+04 
       2.267862366498e-02       1.502904778242e+04 
       2.283814711161e-02       1.496397206025e+04 
       2.299773806272e-02       1.489901181104e+04 
       2.315739775897e-02       1.483371193353e+04 
       2.331712747219e-02       1.476740725181e+04 
       2.347692850595e-02       1.470131160662e+04 
       2.363680219620e-02       1.463497880071e+04 
       2.379674991190e-02       1.456883992211e+04 
       2.395677305565e-02       1.450189776676e+04 
       2.411687306441e-02       1.443445965443e+04 
       2.427705141014e-02       1.436717506647e+04 
       2.443730960059e-02       1.429985727371e+04 
       2.459764917998e-02       1.423225282215e+04 
       2.475807172981e-02       1.416413850831e+04 
       2.491857886964e-02       1.409627311364e+04 
       2.507917225790e-02       1.402792500952e+04 
       2.523985359275e-02       1.395970001105e+04 
       2.540062461292e-02       1.389116507313e+04 
       2.556148709862e-02       1.382257693545e+04 
       2.572244287249e-02       1.375385780918e+04 
       2.588349380049e-02       1.368510126548e+04 
       2.604464179293e-02       1.361621523418e+04 
       2.620588880547e-02       1.354727434651e+04 
       2.636723684014e-02       1.347835442794e+04 
       2.652868794644e-02       1.340918673610e+04 
       2.669024422243e-02       1.334007161101e+04 
       2.685190781584e-02       1.327094129620e+04 
       2.701368092532e-02       1.320177708653e+04 
       2.717556580156e-02       1.313255614880e+04 
       2.733756474859e-02       1.306334394523e+04 
       2.749968012505e-02       1.299415369233e+04 
       2.766191434550e-02       1.292507843476e+04 
       2.782426988181e-02       1.285580305862e+04 
       2.798674926454e-02       1.278683278062e+04 
       2.814935508438e-02       1.271757522227e+04 
       2.831208999369e-02       1.264851597621e+04 
       2.847495670798e-02       1.257951371586e+04 
       2.863795800753e-02       1.251072365448e+04 
       2.880109673902e-02       1.244161626039e+04 
       2.896437581723e-02       1.237282033108e+04 
       2.912779822675e-02       1.230429348963e+04 
       2.929136702380e-02       1.223552746066e+04 
       2.945508533806e-02       1.216700124924e+04 
       2.961895637461e-02       1.209855363816e+04 
       2.978298341587e-02       1.203022131431e+04 
       2.994716982367e-02       1.196207475201e+04 
       3.011151904130e-02       1.189404221605e+04 
       3.027603459574e-02       1.182603919030e+04 
       3.044072009986e-02       1.175839582230e+04 
       3.060557925472e-02       1.169064149589e+04 
       3.077061585201e-02       1.162319180198e+04 
       3.093583377646e-02       1.155576516722e+04 
       3.110123700843e-02       1.148857705164e+04 
       3.126682962654e-02       1.142156446012e+04 
       3.143261581038e-02       1.135474752499e+04 
       3.159859984334e-02       1.128827507996e+04 
       3.176478611549e-02       1.122171386922e+04 
       3.193117912666e-02       1.115542845217e+04 
       3.209778348948e-02       1.108922257705e+04 
       3.226460393267e-02       1.102333559932e+04 
       3.243164530433e-02       1.095761722355e+04 
       3.259891257541e-02       1.089212974719e+04 
       3.276641084332e-02       1.082683694768e+04 
       3.293414533558e-02       1.076177862835e+04 
       3.310212141370e-02       1.069697997088e+04 
       3.327034457713e-02       1.063237247575e+04 
       3.343882046742e-02       1.056790032631e+04 
       3.360755487245e-02       1.050382501070e+04 
       3.377655373090e-02       1.043991393480e+04 
       3.394582313681e-02       1.037613162236e+04 
       3.411536934438e-02       1.031268694760e+04 
       3.428519877292e-02       1.024948942076e+04 
       3.445531801195e-02       1.018667199774e+04 
       3.462573382658e-02       1.012379043654e+04 
       3.479645316302e-02       1.006136019568e+04 
       3.496748315436e-02       9.999212641350e+03 
       3.513883112653e-02       9.937270943142e+03 
       3.531050460455e-02       9.875627000683e+03 
       3.548251131896e-02       9.814221676205e+03 
       3.565485921256e-02       9.753091314481e+03 
       3.582755644745e-02       9.692209358157e+03 
       3.600061141224e-02       9.631736871607e+03 
       3.617403272971e-02       9.571349545234e+03 
       3.634782926466e-02       9.511325880090e+03 
       3.652201013216e-02       9.451565964223e+03 
       3.669658470615e-02       9.392071302008e+03 
       3.687156262834e-02       9.332881020882e+03 
       3.704695381758e-02       9.273971780245e+03 
       3.722276847957e-02       9.215358272328e+03 
       3.739901711702e-02       9.156983393648e+03 
       3.757571054029e-02       9.098974101299e+03 
       3.775285987841e-02       9.041218117032e+03 
       3.793047659069e-02       8.983832469145e+03 
       3.810857247885e-02       8.926652515225e+03 
       3.828715969959e-02       8.869775640996e+03 
       3.846625077793e-02       8.813108025938e+03 
       3.864585862098e-02       8.756803373372e+03 
       3.882599653248e-02       8.700813826672e+03 
       3.900667822800e-02       8.645120809894e+03 
       3.918791785085e-02       8.589677290067e+03 
       3.936972998874e-02       8.534588941376e+03 
       3.955212969137e-02       8.479818252183e+03 
       3.973513248870e-02       8.425335290364e+03 
