# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.401171885417e-10       4.215973893609e-15       3.566752631560e-13       0.000000000000e+00       9.840066913013e-09       4.997520186536e-10      -1.861065124841e-12 
    3       1.329285428862e-10       5.398659319755e-15       4.037293960276e-13       0.000000000000e+00       6.222684135658e-09       3.630671149487e-10      -1.413640928022e-12 
    4       1.261306230825e-10       4.666350125467e-15       3.802410494490e-13       0.000000000000e+00       4.431983588943e-09       2.809803126166e-10      -9.295277594881e-13 
    5       1.211502830554e-10       3.116156697903e-15       3.261582263808e-13       0.000000000000e+00       3.380332788214e-09       2.264566561821e-10      -5.223888900107e-13 
    6       1.178697409699e-10       1.746967533783e-15       2.646835577244e-13       0.000000000000e+00       2.692387884431e-09       1.877557235556e-10      -2.235640198019e-13 
    7       1.159404557081e-10       9.413689421652e-16       2.095692237118e-13       0.000000000000e+00       2.211099814318e-09       1.589372738787e-10      -3.427800796165e-14 
    8       1.149661609406e-10       5.960922497344e-16       1.672163584160e-13       0.000000000000e+00       1.857685796425e-09       1.367852880390e-10       6.112666564782e-14 
    9       1.147825203337e-10       4.702870786080e-16       1.393579326266e-13       0.000000000000e+00       1.588340940922e-09       1.194132577134e-10       8.689718215990e-14 
   10       1.152215859664e-10       4.067722598227e-16       1.248137910406e-13       0.000000000000e+00       1.377114865126e-09       1.054978499248e-10       6.965371278992e-14 
   11       1.160475301260e-10       3.626764614515e-16       1.209755952634e-13       0.000000000000e+00       1.136732940578e-09       9.317356538656e-11       3.397872067310e-14 
   12       1.172548403117e-10       3.456571528630e-16       1.247212931949e-13       0.000000000000e+00       1.004183472049e-09       8.355382619607e-11      -2.748175647947e-15 
   13       1.187503075884e-10       3.598443708282e-16       1.331655870506e-13       0.000000000000e+00       8.944720078527e-10       7.531374318645e-11      -2.954514663160e-14 
   14       1.204792224424e-10       3.963274797465e-16       1.440780007962e-13       0.000000000000e+00       8.024511845891e-10       6.836123654253e-11      -4.205615541282e-14 
   15       1.224201940115e-10       4.473906669458e-16       1.558874502294e-13       0.000000000000e+00       7.243933196342e-10       6.240216536408e-11      -4.156499994117e-14 
   16       1.244925785517e-10       5.150663062615e-16       1.679376998278e-13       0.000000000000e+00       6.575208293322e-10       5.715859727154e-11      -3.269148032093e-14 
   17       1.267836529919e-10       6.066553183861e-16       1.800133109743e-13       0.000000000000e+00       5.997252373264e-10       5.248292737164e-11      -2.100500087449e-14 
   18       1.291741490390e-10       7.273822814964e-16       1.921536758637e-13       0.000000000000e+00       5.491843297905e-10       4.838654873136e-11      -1.105568236254e-14 
   19       1.316657042297e-10       8.777105779033e-16       2.045556691534e-13       0.000000000000e+00       5.052359561813e-10       4.482021622333e-11      -5.031432078406e-15 
   20       1.342673908650e-10       1.055998363842e-15       2.174177190671e-13       0.000000000000e+00       4.662541800952e-10       4.160905102738e-11      -4.130065532832e-15 
   21       1.369727234340e-10       1.262506635238e-15       2.306225205735e-13       0.000000000000e+00       4.316955333577e-10       3.872921016174e-11      -7.319611776824e-15 
   22       1.397424411460e-10       1.497735316024e-15       2.438741042974e-13       0.000000000000e+00       4.008057334802e-10       3.615940779556e-11      -1.238663371606e-14 
   23       1.425962690577e-10       1.762113659227e-15       2.567969595603e-13       0.000000000000e+00       3.732078153683e-10       3.387060351139e-11      -1.741345873999e-14 
