# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.275145372877e-09       6.242010037308e-15       2.214477151388e-12       3.051864436171e-19       8.484058877291e-09       9.923630256346e-12      -2.258679545993e-12 
    3       1.241386703440e-09       7.963561220780e-15       2.411560086131e-12       6.103862913787e-19       5.293273017651e-09       6.760663753708e-11      -1.708884757726e-12 
    4       1.191636629683e-09       6.839858387181e-15       2.246992389867e-12       1.017343429861e-18       3.711623978713e-09       7.473805067440e-11      -1.116778962225e-12 
    5       1.139745040792e-09       4.503724180993e-15       1.907544200492e-12       1.526084323079e-18       2.786890176127e-09       6.937625460985e-11      -6.171578429389e-13 
    6       1.089621760472e-09       2.460486345952e-15       1.506226332177e-12       2.136648971178e-18       2.187661087900e-09       6.142849939411e-11      -2.476301713629e-13 
    7       1.042553199031e-09       1.292385336145e-15       1.115172298502e-12       2.849094868982e-18       1.773978825223e-09       5.351895109236e-11      -1.091632351958e-14 
    8       9.987844978618e-10       8.292308002174e-16       7.736039435696e-13       3.663501144650e-18       1.473852143974e-09       4.645049494324e-11       1.100978079396e-13 
    9       9.581461535638e-10       6.784436537748e-16       4.990792775986e-13       4.579972597505e-18       1.247381803470e-09       4.041918558612e-11       1.429415669627e-13 
   10       9.206012131046e-10       5.845359227423e-16       2.952498239251e-13       5.598643347549e-18       1.071527282817e-09       3.532015847770e-11       1.187967315016e-13 
   11       8.858609370854e-10       4.896409396106e-16       1.572243743133e-13       6.719679817759e-18       8.986246128177e-10       2.994918536053e-11       6.682989321523e-14 
   12       8.536622125515e-10       4.252997452604e-16       7.559525217355e-14       7.943282793552e-18       7.878264519866e-10       2.699692256450e-11       1.117065731812e-14 
   13       8.238616737524e-10       4.075444125429e-16       3.935694884559e-14       9.269688341152e-18       6.970897368517e-10       2.201443019296e-11      -3.373650515173e-14 
   14       7.962837714108e-10       4.123163375758e-16       3.740585961390e-14       1.069916741630e-17       6.209763639096e-10       2.035249468555e-11      -5.949943028130e-14 
   15       7.707144629433e-10       4.072491890557e-16       5.948397441859e-14       1.223202405469e-17       5.568765214572e-10       1.816133677389e-11      -6.622500956965e-14 
   16       7.469294157532e-10       3.827611161561e-16       9.680170269609e-14       1.386859210312e-17       5.026130471693e-10       1.362305952951e-11      -5.875142908660e-14 
   17       7.248584198592e-10       3.537133954165e-16       1.420277887470e-13       1.560923052232e-17       4.554964336514e-10       1.276679483984e-11      -4.131303011024e-14 
   18       7.043521887469e-10       3.424126712630e-16       1.893951594673e-13       1.745431815747e-17       4.145181468178e-10       1.199669390362e-11      -2.170149771305e-14 
   19       6.855094342677e-10       3.556939843803e-16       2.351652622943e-13       1.940424260847e-17       3.791827904394e-10       1.043452510426e-11      -4.529167876207e-15 
   20       6.679104713818e-10       3.930301725544e-16       2.759862465218e-13       2.145940064628e-17       3.479679306890e-10       9.152487569886e-12       6.940573275418e-15 
   21       6.516089094298e-10       4.481182405214e-16       3.101395976803e-13       2.362017872044e-17       3.203949905141e-10       8.167696074038e-12       1.217813886286e-14 
   22       6.364710812733e-10       5.121365904647e-16       3.367518302708e-13       2.588695436509e-17       2.958723419220e-10       7.151850248940e-12       1.208530480937e-14 
   23       6.224859335985e-10       5.840938532378e-16       3.556420917085e-13       2.826007756137e-17       2.740730409334e-10       6.142500792723e-12       8.342369039517e-15 
   24       6.094585674226e-10       6.655390441124e-16       3.672906804723e-13       3.073987204776e-17       2.544875860360e-10       5.266641869836e-12       3.163280537226e-15 
   25       5.973911751008e-10       7.579196775685e-16       3.727892044271e-13       3.332661897001e-17       2.369011457063e-10       4.440929520411e-12      -2.134800694540e-15 
   26       5.861825359527e-10       8.623921610321e-16       3.737891030882e-13       3.602055787292e-17       2.210136578938e-10       3.555245801130e-12      -6.487920836191e-15 
   27       5.757725656370e-10       9.785472765311e-16       3.719216411988e-13       3.882187571563e-17       2.066203888347e-10       2.811418374609e-12      -9.506948028247e-15 
   28       5.660166024320e-10       1.105516853922e-15       3.689656666920e-13       4.173070814107e-17       1.934539261027e-10       2.461755560928e-12      -1.112940175207e-14 
   29       5.569433969637e-10       1.243676869023e-15       3.660961327125e-13       4.474714143553e-17       1.814640719124e-10       2.381412870118e-12      -1.179652463364e-14 
   30       5.485128190681e-10       1.393815173890e-15       3.644628351489e-13       4.787120407418e-17       1.705565172137e-10       2.272820481554e-12      -1.226191880145e-14 
   31       5.405803969976e-10       1.556712872173e-15       3.651695687222e-13       5.110287075048e-17       1.605425042726e-10       1.852938918467e-12      -1.324048944988e-14 
   32       5.331498481026e-10       1.732883046142e-15       3.683405990207e-13       5.444209457208e-17       1.513629395157e-10       1.221364227060e-12      -1.443140609024e-14 
   33       5.261914498307e-10       1.922729859317e-15       3.736853131495e-13       5.788877985338e-17       1.429291235428e-10       6.341356949641e-13      -1.511882270516e-14 
   34       5.196102068356e-10       2.126713133058e-15       3.807108268535e-13       6.144278752334e-17       1.351009316914e-10       3.335204388831e-13      -1.461698233263e-14 
   35       5.134043861073e-10       2.345700457736e-15       3.886849945747e-13       6.510399652269e-17       1.278458804536e-10       2.700897107673e-13      -1.298395872590e-14 
   36       5.075477390987e-10       2.580743711744e-15       3.966293805726e-13       6.887225950486e-17       1.211252152226e-10       2.816126723460e-13      -1.056187323529e-14 
   37       5.019754020326e-10       2.832798586982e-15       4.035078719103e-13       7.274741532283e-17       1.148711824233e-10       2.068619296007e-13      -7.760979203710e-15 
   38       4.967044355505e-10       3.102060609407e-15       4.089039232913e-13       7.672939467789e-17       1.090699691868e-10       3.543849855214e-14      -4.937689277096e-15 
   39       4.917437761381e-10       3.388401269510e-15       4.125543763798e-13       8.081814866641e-17       1.036999740644e-10      -1.935938239961e-13      -2.485728684655e-15 
   40       4.870562633670e-10       3.691532109465e-15       4.141660338552e-13       8.501362112179e-17       9.870585255320e-11      -4.309578184177e-13      -8.745851503894e-16 
   41       4.825812791734e-10       4.011204435546e-15       4.135087996104e-13       8.931578347923e-17       9.401760055735e-11      -6.293513555982e-13      -5.103419013057e-16 
   42       4.783222457495e-10       4.347912201416e-15       4.107354027060e-13       9.372475179068e-17       8.962231844518e-11      -7.864008448605e-13      -1.252946180836e-15 
   43       4.742801078646e-10       4.702400043954e-15       4.061630674780e-13       9.824070866317e-17       8.551087788880e-11      -9.145591739485e-13      -2.749318231692e-15 
   44       4.704261463564e-10       5.075476448935e-15       4.001925872051e-13       1.028638750141e-16       8.165653495460e-11      -1.029659935876e-12      -4.558117961173e-15 
   45       4.667192371098e-10       5.467907440396e-15       3.932442592122e-13       1.075945230397e-16       7.802487632522e-11      -1.146638068982e-12      -6.236155026930e-15 
   46       4.631698996254e-10       5.880050729020e-15       3.855312494457e-13       1.124330129227e-16       7.461054047358e-11      -1.264665181326e-12      -7.641174058435e-15 
   47       4.597909796702e-10       6.312118699138e-15       3.772268471669e-13       1.173797720230e-16       7.140906613739e-11      -1.377931905279e-12      -8.710387242444e-15 
