# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.353625473003e-10       8.309768024846e-16       1.547353727030e-13       1.526187847380e-19       7.254708635048e-09       4.084318698022e-10      -8.095252958710e-13 
    3       1.293910086389e-10       1.077382999993e-15       1.739507676134e-13       3.052928711596e-19       4.375804100320e-09       2.837630281298e-10      -6.104208314691e-13 
    4       1.237546018187e-10       9.483786341523e-16       1.641876045690e-13       5.089436059576e-19       2.993315266781e-09       2.114866373451e-10      -3.962379049966e-13 
    5       1.196563711660e-10       6.544395065616e-16       1.437085072988e-13       7.636426894116e-19       2.202439806208e-09       1.648700917502e-10      -2.156234523798e-13 
    6       1.169464809865e-10       3.944821300343e-16       1.222751322721e-13       1.069478042206e-18       1.698241571064e-09       1.326602418811e-10      -8.198407662796e-14 
    7       1.153046616247e-10       2.471595174751e-16       1.048271963901e-13       1.426552741806e-18       1.353869691305e-09       1.093564104728e-10       3.838292627095e-15 
    8       1.145184669553e-10       1.907661812583e-16       9.293265338690e-14       1.834983815424e-18       1.106760652584e-09       9.189814415959e-11       4.806416077886e-14 
    9       1.143193437785e-10       1.730639317698e-16       8.646695739382e-14       2.294900923087e-18       9.226562662338e-10       7.842983376273e-11       6.059761716320e-14 
   10       1.146182600067e-10       1.602753500331e-16       8.455461080627e-14       2.806444966578e-18       7.813076257358e-10       6.779754381570e-11       5.258161432752e-14 
   11       1.153065311191e-10       1.464937182743e-16       8.609882148670e-14       3.369766660966e-18       6.590210789671e-10       5.982986431676e-11       3.457468180925e-14 
   12       1.162466369047e-10       1.395112437905e-16       9.013737289929e-14       3.985025105122e-18       5.712935242838e-10       5.266849070190e-11       1.457944942103e-14 
   13       1.174810794798e-10       1.458362702095e-16       9.588840208700e-14       4.652386385957e-18       4.997327350279e-10       4.671360380602e-11      -1.866087288042e-15 
   14       1.189183430607e-10       1.658789848773e-16       1.027415915344e-13       5.372022248310e-18       4.405710748022e-10       4.182943103849e-11      -1.204036414540e-14 
   15       1.205160604316e-10       1.969939892682e-16       1.103139551029e-13       6.144108858505e-18       3.910824593755e-10       3.759654850895e-11      -1.598197946885e-14 
   16       1.222812369408e-10       2.375476936900e-16       1.183420615461e-13       6.968825684761e-18       3.492515426361e-10       3.395558737544e-11      -1.498440973861e-14 
   17       1.241631524765e-10       2.879842895018e-16       1.266883113066e-13       7.846354512146e-18       3.135730170857e-10       3.082530730107e-11      -1.112914510317e-14 
   18       1.261680406041e-10       3.494347759159e-16       1.352958920327e-13       8.776878548022e-18       2.827797328178e-10       2.810308645072e-11      -6.679525667462e-15 
   19       1.283053576271e-10       4.224161276706e-16       1.441020055920e-13       9.760582013338e-18       2.563293672587e-10       2.575529521433e-11      -3.018941627309e-15 
   20       1.305222890688e-10       5.070308500476e-16       1.530097339534e-13       1.079764898629e-17       2.331569649742e-10       2.370187656570e-11      -1.247245383107e-15 
