# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.353622159025e-10       8.308241836757e-16       1.547353747670e-13       0.000000000000e+00       7.254708635048e-09       4.084318698022e-10      -8.095252958710e-13 
    3       1.293903477183e-10       1.077077706881e-15       1.739507768226e-13       0.000000000000e+00       4.375804100320e-09       2.837630281298e-10      -6.104208314691e-13 
    4       1.237535043960e-10       9.478696893582e-16       1.641876310718e-13       0.000000000000e+00       2.993315266781e-09       2.114866373451e-10      -3.962379049966e-13 
    5       1.196547326115e-10       6.536758597675e-16       1.437085677913e-13       0.000000000000e+00       2.202439806208e-09       1.648700917502e-10      -2.156234523798e-13 
    6       1.169441994825e-10       3.934126406771e-16       1.222752514935e-13       0.000000000000e+00       1.698241571064e-09       1.326602418811e-10      -8.198407662796e-14 
    7       1.153016385515e-10       2.457329380689e-16       1.048274085309e-13       0.000000000000e+00       1.353869691305e-09       1.093564104728e-10       3.838292627095e-15 
    8       1.145146071929e-10       1.889311414878e-16       9.293300339749e-14       0.000000000000e+00       1.106760652584e-09       9.189814415959e-11       4.806416077886e-14 
    9       1.143145559163e-10       1.707689234984e-16       8.646750218256e-14       0.000000000000e+00       9.226562662338e-10       7.842983376273e-11       6.059761716320e-14 
   10       1.146124564609e-10       1.574687133695e-16       8.455542031999e-14       0.000000000000e+00       7.813076257358e-10       6.779754381570e-11       5.258161432752e-14 
   11       1.152996281578e-10       1.431236288439e-16       8.609997966840e-14       0.000000000000e+00       6.590210789671e-10       5.982986431676e-11       3.457468180925e-14 
   12       1.162385545851e-10       1.355257013552e-16       9.013897852067e-14       0.000000000000e+00       5.712935242838e-10       5.266849070190e-11       1.457944942103e-14 
   13       1.174717415048e-10       1.411830887707e-16       9.589056945539e-14       0.000000000000e+00       4.997327350279e-10       4.671360380602e-11      -1.866087288042e-15 
   14       1.189076765651e-10       1.605057843909e-16       1.027444510759e-13       0.000000000000e+00       4.405710748022e-10       4.182943103849e-11      -1.204036414540e-14 
   15       1.205039957105e-10       1.908481890840e-16       1.103176538249e-13       0.000000000000e+00       3.910824593755e-10       3.759654850895e-11      -1.598197946885e-14 
   16       1.222677071339e-10       2.305765078110e-16       1.183467633837e-13       0.000000000000e+00       3.492515426361e-10       3.395558737544e-11      -1.498440973861e-14 
   17       1.241480932244e-10       2.801347237395e-16       1.266941973576e-13       0.000000000000e+00       3.135730170857e-10       3.082530730107e-11      -1.112914510317e-14 
   18       1.261513896847e-10       3.406536269301e-16       1.353031606856e-13       0.000000000000e+00       2.827797328178e-10       2.810308645072e-11      -6.679525667462e-15 
   19       1.282870546328e-10       4.126499842929e-16       1.441108725607e-13       0.000000000000e+00       2.563293672587e-10       2.575529521433e-11      -3.018941627309e-15 
   20       1.305022750217e-10       4.962260959263e-16       1.530204321983e-13       0.000000000000e+00       2.331569649742e-10       2.370187656570e-11      -1.247245383107e-15 
   21       1.328081100843e-10       5.917287577793e-16       1.619743776578e-13       0.000000000000e+00       2.128660632982e-10       2.188774691734e-11      -1.375275049741e-15 
   22       1.352027657676e-10       6.995898021056e-16       1.708999126187e-13       0.000000000000e+00       1.949397905111e-10       2.024085827637e-11      -2.872549528408e-15 
   23       1.376790944324e-10       8.207701739634e-16       1.796581782420e-13       0.000000000000e+00       1.791095897806e-10       1.876457917933e-11      -5.039204412591e-15 
   24       1.402097857370e-10       9.563620723435e-16       1.880814000772e-13       0.000000000000e+00       1.649876262864e-10       1.746647827783e-11      -7.037394947323e-15 
   25       1.428104346690e-10       1.107091009906e-15       1.960857947374e-13       0.000000000000e+00       1.523920838349e-10       1.632843819007e-11      -8.368549261014e-15 
   26       1.454911687324e-10       1.273580285638e-15       2.036044767808e-13       0.000000000000e+00       1.410796116169e-10       1.530916159191e-11      -8.710034286072e-15 
   27       1.482385293374e-10       1.456718231395e-15       2.105385140119e-13       0.000000000000e+00       1.309037066498e-10       1.437413881543e-11      -8.271887440470e-15 
