# Matter power spectrum P(k) at redshift z=0
# for k=1.05187e-05 to 1.11903 h/Mpc,
# number of wavenumbers equal to 557
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.051870480496e-05       4.869565213464e+01 
       2.622122796879e-05       1.176796323861e+02 
       4.199694351750e-05       1.854806278053e+02 
       5.790896362887e-05       2.529627308066e+02 
       7.402183100874e-05       3.206319431708e+02 
       9.040237249586e-05       3.888868864897e+02 
       1.071205901795e-04       4.580850050073e+02 
       1.242506070851e-04       5.285698769378e+02 
       1.418716845147e-04       6.006859214599e+02 
       1.600693280219e-04       6.747882180218e+02 
       1.789364984781e-04       7.512498797905e+02 
       1.985749433629e-04       8.304688123228e+02 
       2.190966607009e-04       9.128736305584e+02 
       2.406255031798e-04       9.989297017656e+02 
       2.632989217889e-04       1.089144837480e+03 
       2.872698353248e-04       1.184075364172e+03 
       3.127085923763e-04       1.284331297658e+03 
       3.398049635786e-04       1.390581416895e+03 
       3.687700613918e-04       1.503557028902e+03 
       3.998380300157e-04       1.624053971527e+03 
       4.332672779813e-04       1.752932010789e+03 
       4.693409419387e-04       1.891109916467e+03 
       5.083661788911e-04       2.039555332021e+03 
       5.506718009182e-04       2.199267180155e+03 
       5.966037185088e-04       2.371249196454e+03 
       6.465176866134e-04       2.556473647223e+03 
       7.007690015626e-04       2.755833816859e+03 
       7.596991231506e-04       2.970087586741e+03 
       8.236197105620e-04       3.199794957861e+03 
       8.927952157458e-04       3.445254757213e+03 
       9.674258363367e-04       3.706448330941e+03 
       1.047633075939e-03       3.983000090094e+03 
       1.133450163542e-03       4.274162044717e+03 
       1.224819017572e-03       4.578828311391e+03 
       1.321594377125e-03       4.895579465308e+03 
       1.423554450653e-03       5.222752438292e+03 
       1.530416340651e-03       5.558523738782e+03 
       1.641853905420e-03       5.900996979178e+03 
       1.757515718976e-03       6.248281300778e+03 
       1.877041268835e-03       6.598555442982e+03 
       2.000074245627e-03       6.950117905180e+03 
       2.126272487401e-03       7.301417649322e+03 
       2.255314689688e-03       7.651073211236e+03 
       2.386904326920e-03       7.997876792287e+03 
       2.520771373160e-03       8.340791117356e+03 
       2.656672415962e-03       8.678937878554e+03 
       2.794389685373e-03       9.011585090494e+03 
