# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.342581175907e-10       2.607015449727e-16       8.571122967301e-14       0.000000000000e+00       6.515727557221e-09       3.751274312267e-10      -4.473477457837e-13 
    3       1.290417036828e-10       3.419416896990e-16       9.635787150525e-14       0.000000000000e+00       3.868252294395e-09       2.567757018083e-10      -3.362126290716e-13 
    4       1.241651846737e-10       3.068564775102e-16       9.176462670359e-14       0.000000000000e+00       2.608150873416e-09       1.891335845661e-10      -2.172687737809e-13 
    5       1.207332853807e-10       2.194217738041e-16       8.234689055943e-14       0.000000000000e+00       1.895871086230e-09       1.461370585856e-10      -1.168463522202e-13 
    6       1.186360571649e-10       1.417695233743e-16       7.337922716735e-14       0.000000000000e+00       1.445736768203e-09       1.168399660210e-10      -4.212700978479e-14 
    7       1.175697469062e-10       9.935250504529e-17       6.721710542697e-14       0.000000000000e+00       1.140592253537e-09       9.584342532242e-11       6.360179184159e-15 
    8       1.172625477631e-10       8.563318869599e-17       6.429663392485e-14       0.000000000000e+00       9.233383116090e-10       8.020045758398e-11       3.183632227364e-14 
    9       1.175639541192e-10       8.364164264462e-17       6.419226309195e-14       0.000000000000e+00       7.627909877158e-10       6.820985482673e-11       3.949083431943e-14 
   10       1.183536148671e-10       8.222844051454e-17       6.622912185387e-14       0.000000000000e+00       6.405388062764e-10       5.881800572002e-11       3.524116417914e-14 
   11       1.195086547287e-10       7.995915336864e-17       6.978205488098e-14       0.000000000000e+00       5.385082870543e-10       5.190714234883e-11       2.474503278024e-14 
   12       1.210009634856e-10       8.071422568209e-17       7.438232430770e-14       0.000000000000e+00       4.635229428940e-10       4.566983166708e-11       1.261847975500e-14 
   13       1.227727479763e-10       8.818279448348e-17       7.969545170168e-14       0.000000000000e+00       4.027471297340e-10       4.049168983594e-11       2.000107988146e-15 
