# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.342583669205e-10       2.607858895919e-16       8.571122853534e-14       8.434459487798e-20       6.515727557221e-09       3.751274312267e-10      -4.473477457837e-13 
    3       1.290422007345e-10       3.421104068429e-16       9.635786642494e-14       1.687169021763e-19       3.868252294395e-09       2.567757018083e-10      -3.362126290716e-13 
    4       1.241660095672e-10       3.071377350253e-16       9.176461206679e-14       2.812563189453e-19       2.608150873416e-09       1.891335845661e-10      -2.172687737809e-13 
    5       1.207345162220e-10       2.198437774497e-16       8.234685710424e-14       4.219995102659e-19       1.895871086230e-09       1.461370585856e-10      -1.168463522202e-13 
    6       1.186377696506e-10       1.423605268361e-16       7.337916112265e-14       5.909920535618e-19       1.445736768203e-09       1.168399660210e-10      -4.212700978479e-14 
    7       1.175720139934e-10       1.001408202159e-16       6.721698768234e-14       7.882882600644e-19       1.140592253537e-09       9.584342532242e-11       6.360179184159e-15 
    8       1.172654394132e-10       8.664719618650e-17       6.429643923713e-14       1.013950952308e-18       9.233383116090e-10       8.020045758398e-11       3.183632227364e-14 
    9       1.175675371199e-10       8.490980246048e-17       6.419195933307e-14       1.268051194341e-18       7.627909877158e-10       6.820985482673e-11       3.949083431943e-14 
   10       1.183579527346e-10       8.377930278699e-17       6.622866930372e-14       1.550667971689e-18       6.405388062764e-10       5.881800572002e-11       3.524116417914e-14 
   11       1.195138076886e-10       8.182136900210e-17       6.978140556842e-14       1.861887818785e-18       5.385082870543e-10       5.190714234883e-11       2.474503278024e-14 
   12       1.210069885300e-10       8.291655674768e-17       7.438142140210e-14       2.201804392574e-18       4.635229428940e-10       4.566983166708e-11       1.261847975500e-14 
   13       1.227796989887e-10       9.075412416782e-17       7.969422895698e-14       2.570517992257e-18       4.027471297340e-10       4.049168983594e-11       2.000107988146e-15 
   14       1.247418003969e-10       1.065004940878e-16       8.553451574770e-14       2.968135026677e-18       3.527899240545e-10       3.613810476134e-11      -5.422950537698e-15 
   15       1.269343758400e-10       1.295571879389e-16       9.183238377372e-14       3.394767432502e-18       3.112361187957e-10       3.253882449781e-11      -9.137641202535e-15 
   16       1.293180946011e-10       1.591933003325e-16       9.851353452961e-14       3.850532048181e-18       2.763107140945e-10       2.947769481430e-11      -9.725341702623e-15 
   17       1.318461341824e-10       1.953705652407e-16       1.055112107332e-13       4.335549950426e-18       2.466833170530e-10       2.681407505482e-11      -8.291262862878e-15 
   18       1.345165133896e-10       2.385636149788e-16       1.127786871244e-13       4.849945789030e-18       2.212436826031e-10       2.447255345648e-11      -6.107283700930e-15 
   19       1.373385494962e-10       2.892416924027e-16       1.202612979186e-13       5.393846939079e-18       1.995036351038e-10       2.244192262994e-11      -3.986668994796e-15 
   20       1.402656748612e-10       3.477591229096e-16       1.278715032810e-13       5.967383068808e-18       1.805494170618e-10       2.067525527544e-11      -2.635713874757e-15 
   21       1.433095365956e-10       4.144654043064e-16       1.355382415245e-13       6.570685084531e-18       1.640315822146e-10       1.913123261134e-11      -2.215656444736e-15 
   22       1.464667861415e-10       4.897229507667e-16       1.431789444569e-13       7.203884721562e-18       1.495055109002e-10       1.774553091256e-11      -2.629353230754e-15 
   23       1.497302741735e-10       5.742262568591e-16       1.507133490276e-13       7.867113650627e-18       1.367366298077e-10       1.650558700899e-11      -3.615751809811e-15 
   24       1.530715066562e-10       6.687692509209e-16       1.580539729870e-13       8.560503049788e-18       1.253950464300e-10       1.539807856792e-11      -4.797583046339e-15 
   25       1.564979692459e-10       7.739631629682e-16       1.651351805696e-13       9.284182935682e-18       1.153235571776e-10       1.440267424098e-11      -5.852764774822e-15 
   26       1.600113811090e-10       8.903697707287e-16       1.718940732141e-13       1.003828167286e-17       1.063165580049e-10       1.348991811324e-11      -6.483915874161e-15 
   27       1.636059206514e-10       1.018648492145e-15       1.782725305458e-13       1.082292554188e-17       9.824825035810e-11       1.266178745066e-11      -6.639742361801e-15 
   28       1.672640574519e-10       1.159488902343e-15       1.842132044814e-13       1.163823833596e-17       9.096162380357e-11       1.192233817484e-11      -6.379378381779e-15 
   29       1.709911145668e-10       1.313554722177e-15       1.896691568877e-13       1.248434174811e-17       8.440856512955e-11       1.126353482187e-11      -5.856022146824e-15 
   30       1.747872240729e-10       1.481500204071e-15       1.945959278039e-13       1.336135420277e-17       7.850763998295e-11       1.066439468905e-11      -5.297034526175e-15 
   31       1.786415777885e-10       1.663980290567e-15       1.989509035602e-13       1.426939075704e-17       7.312485878299e-11       1.009892102506e-11      -4.937904823678e-15 
   32       1.825557177944e-10       1.861664104873e-15       2.027028530797e-13       1.520856505868e-17       6.822516585882e-11       9.566789007626e-12      -4.813032429004e-15 
   33       1.865261959939e-10       2.075224562892e-15       2.058261291237e-13       1.617898731235e-17       6.376737114865e-11       9.073212758368e-12      -4.886387054109e-15 
   34       1.905418190081e-10       2.305341685709e-15       2.082952675103e-13       1.718076416652e-17       5.968117692429e-11       8.620486063001e-12      -5.102881122464e-15 
   35       1.946001086140e-10       2.552729875998e-15       2.100742217492e-13       1.821400169309e-17       5.594082788094e-11       8.207327959289e-12      -5.384544211865e-15 
   36       1.986947293027e-10       2.818119402284e-15       2.111232470475e-13       1.927880278271e-17       5.251146402065e-11       7.828712082046e-12      -5.630261396295e-15 
   37       2.028156888421e-10       3.102231717164e-15       2.114039677228e-13       2.037526742736e-17       4.934277743480e-11       7.477667722462e-12      -5.743161290280e-15 
   38       2.069682569606e-10       3.405720295877e-15       2.108875343828e-13       2.150349765025e-17       4.642357704205e-11       7.152082752297e-12      -5.726776302822e-15 
   39       2.111591629705e-10       3.729208194908e-15       2.095491407215e-13       2.266359371552e-17       4.374193181215e-11       6.849736902402e-12      -5.620511844878e-15 
   40       2.153908848996e-10       4.073301692959e-15       2.073659134091e-13       2.385565249435e-17       4.126866324135e-11       6.566245526429e-12      -5.474852409296e-15 
   41       2.196622392266e-10       4.438598332303e-15       2.043142155861e-13       2.507976895228e-17       3.896687473776e-11       6.296580241614e-12      -5.341216948923e-15 
   42       2.239715973135e-10       4.825718327246e-15       2.003603656731e-13       2.633604178340e-17       3.682783745394e-11       6.040666969297e-12      -5.235770553659e-15 
   43       2.283138643928e-10       5.235280484242e-15       1.954669924029e-13       2.762456919718e-17       3.484428916252e-11       5.799301637024e-12      -5.165080426369e-15 
   44       2.326790514185e-10       5.667892292150e-15       1.895953968091e-13       2.894544721994e-17       3.299971605019e-11       5.572538472904e-12      -5.135978594014e-15 
   45       2.370560561357e-10       6.124150695091e-15       1.827097948278e-13       3.029877064621e-17       3.127384683533e-11       5.359873293032e-12      -5.152878532749e-15 
   46       2.414463696973e-10       6.604647167215e-15       1.747918684351e-13       3.168463652934e-17       2.966280550664e-11       5.161014789544e-12      -5.208789985710e-15 
   47       2.458537347930e-10       7.109962364446e-15       1.658303403602e-13       3.310314151961e-17       2.816374787036e-11       4.975231159223e-12      -5.291602351664e-15 
   48       2.502801059721e-10       7.640663507707e-15       1.558170941691e-13       3.455438081457e-17       2.676880554014e-11       4.801070081160e-12      -5.386366762031e-15 
   49       2.547254613076e-10       8.197303435375e-15       1.447472942968e-13       3.603844809489e-17       2.546471780870e-11       4.636306852159e-12      -5.475132911939e-15 
   50       2.591885243731e-10       8.780419285546e-15       1.326131532745e-13       3.755543531881e-17       2.423661925919e-11       4.478576611989e-12      -5.542046145376e-15 
   51       2.636695981493e-10       9.390530319444e-15       1.193829604471e-13       3.910543218922e-17       2.308146869263e-11       4.327593657077e-12      -5.590648329858e-15 
   52       2.681681747982e-10       1.002813786932e-14       1.050165683215e-13       4.068852643088e-17       2.199762899856e-11       4.183444883302e-12      -5.630991061083e-15 
   53       2.726819505351e-10       1.069372471492e-14       8.947107317290e-14       4.230480384978e-17       2.098086153218e-11       4.045939141586e-12      -5.674868224512e-15 
   54       2.772066801301e-10       1.138775411856e-14       7.270063612211e-14       4.395434826224e-17       2.002415355015e-11       3.914587565763e-12      -5.735900367781e-15 
   55       2.817377363393e-10       1.211067350701e-14       5.466332316274e-14       4.563724012267e-17       1.911973304211e-11       3.788806414765e-12      -5.825636892185e-15 
   56       2.862755751728e-10       1.286292879901e-14       3.534402496641e-14       4.735355216991e-17       1.826609468664e-11       3.668629674885e-12      -5.940535429657e-15 
   57       2.908213734656e-10       1.364495194684e-14       1.473691745170e-14       4.910335257520e-17       1.746241703399e-11       3.554139025933e-12      -6.071895648419e-15 
   58       2.953753655493e-10       1.445715583438e-14      -7.160965827908e-15       5.088670602981e-17       1.670644259156e-11       3.445246073570e-12      -6.209488800770e-15 
   59       2.999367641805e-10       1.529993349323e-14      -3.034963914132e-14       5.270367362345e-17       1.599439048307e-11       3.341681346571e-12      -6.341486945593e-15 
   60       3.045036814681e-10       1.617365731879e-14      -5.482607003723e-14       5.455431272268e-17       1.532086910753e-11       3.242983294080e-12      -6.454392170873e-15 
   61       3.090739789444e-10       1.707867136051e-14      -8.058769905050e-14       5.643867674346e-17       1.468030442808e-11       3.148639084760e-12      -6.536235929360e-15 
   62       3.136482196308e-10       1.801526794400e-14      -1.076441359065e-13       5.835681468415e-17       1.407179706235e-11       3.058568826607e-12      -6.587176335151e-15 
   63       3.182272412954e-10       1.898370438655e-14      -1.360079328355e-13       6.030877127145e-17       1.349520539172e-11       2.972731005553e-12      -6.611164773477e-15 
   64       3.228112371722e-10       1.998420847612e-14      -1.656912217248e-13       6.229458693451e-17       1.294968766149e-11       2.890974210784e-12      -6.612918014016e-15 
   65       3.273997063697e-10       2.101697746767e-14      -1.967057342530e-13       6.431429767999e-17       1.243366272973e-11       2.813030948566e-12      -6.597951191622e-15 
   66       3.319914042799e-10       2.208217707951e-14      -2.290628220251e-13       6.636793496712e-17       1.194477081614e-11       2.738511456059e-12      -6.572610787055e-15 
   67       3.365842929867e-10       2.317994048957e-14      -2.627734767070e-13       6.845552558271e-17       1.147983425085e-11       2.666897515137e-12      -6.544107607709e-15 
   68       3.411763198815e-10       2.431038219408e-14      -2.978478388544e-13       7.057709613536e-17       1.103566927180e-11       2.597679730518e-12      -6.518941741236e-15 
   69       3.457680475633e-10       2.547364508748e-14      -3.342935638213e-13       7.273268787470e-17       1.061180016568e-11       2.530815492833e-12      -6.497733095632e-15 
   70       3.503604701859e-10       2.666986116296e-14      -3.721171593910e-13       7.492234466425e-17       1.020822709775e-11       2.466353124168e-12      -6.479397825776e-15 
   71       3.549542045014e-10       2.789913688182e-14      -4.113244747171e-13       7.714610862124e-17       9.824606551529e-12       2.404294152354e-12      -6.462655681722e-15 
   72       3.595494614501e-10       2.916155254994e-14      -4.519207073816e-13       7.940402010983e-17       9.460233843597e-12       2.344590793949e-12      -6.446021863418e-15 
   73       3.641460177515e-10       3.045716169427e-14      -4.939104104524e-13       8.169611773428e-17       9.114025638380e-12       2.287143437220e-12      -6.427798875424e-15 
   74       3.687431874945e-10       3.178599043918e-14      -5.372974995413e-13       8.402243833215e-17       8.784502462942e-12       2.231798125127e-12      -6.406068381624e-15 
   75       3.733397937281e-10       3.314803688299e-14      -5.820852598619e-13       8.638301696744e-17       8.469771221774e-12       2.178344038306e-12      -6.378683059945e-15 
   76       3.779346513352e-10       3.454326656864e-14      -6.282754927515e-13       8.877789277569e-17       8.167976351992e-12       2.126572202622e-12      -6.343902879670e-15 
   77       3.825281801116e-10       3.597159932073e-14      -6.758657599553e-13       9.120712774475e-17       7.878786920490e-12       2.076469535257e-12      -6.302455891846e-15 
   78       3.871210355917e-10       3.743291886412e-14      -7.248516473120e-13       9.367079136230e-17       7.602150198932e-12       2.028055775349e-12      -6.255840181555e-15 
   79       3.917136062263e-10       3.892707582449e-14      -7.752275702926e-13       9.616895517913e-17       7.337839332779e-12       1.981324157438e-12      -6.205717770702e-15 
