# Matter power spectrum P(k) at redshift z=0
# for k=1.06175e-05 to 1.01957 h/Mpc,
# number of wavenumbers equal to 516
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.061747055156e-05       4.902583778777e+01 
       3.015075416349e-05       1.343654905572e+02 
       4.980967267482e-05       2.181980980282e+02 
       6.971602215962e-05       3.018811041536e+02 
       8.999554504324e-05       3.862385833313e+02 
       1.107804947636e-04       4.719549344530e+02 
       1.322123606753e-04       5.596742587070e+02 
       1.544448294559e-04       6.500432737838e+02 
       1.776470577736e-04       7.437369419150e+02 
       2.020073266432e-04       8.414777286933e+02 
       2.277371372523e-04       9.440521682176e+02 
       2.550757857175e-04       1.052326370144e+03 
       2.842954121899e-04       1.167260459544e+03 
       3.157064464574e-04       1.289922329771e+03 
       3.496632520653e-04       1.421498298735e+03 
       3.865695849320e-04       1.563299941627e+03 
       4.268832111516e-04       1.716763066312e+03 
       4.711186613643e-04       1.883435030235e+03 
       5.198466512368e-04       2.064944344640e+03 
       5.736882405968e-04       2.262946496512e+03 
       6.333015026906e-04       2.479039831880e+03 
       6.993586151089e-04       2.714647897894e+03 
       7.725122389849e-04       2.970870861326e+03 
       8.533521298743e-04       3.248316520650e+03 
       9.423560522272e-04       3.546935022491e+03 
       1.039842460211e-03       3.865888089291e+03 
       1.145934520152e-03       4.203490324965e+03 
       1.260544240190e-03       4.557252791507e+03 
       1.383381196341e-03       4.924030203438e+03 
       1.513983990058e-03       5.300253909735e+03 
       1.651766910625e-03       5.682195110096e+03 
       1.796071694535e-03       6.066207606388e+03 
       1.946215301006e-03       6.448909845216e+03 
       2.101527958560e-03       6.827314675207e+03 
       2.261379476463e-03       7.198883389222e+03 
       2.425194615491e-03       7.561559433822e+03 
       2.592459766150e-03       7.913709035959e+03 
       2.762723532119e-03       8.254109503628e+03 
       2.935593521915e-03       8.581878641907e+03 
       3.110731107918e-03       8.896426288822e+03 
       3.287845360179e-03       9.197400268997e+03 
       3.466686909948e-03       9.484641359389e+03 
       3.647042169322e-03       9.758143049238e+03 
