# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       3.663397690118e-10       2.820249882382e-13       2.020405240174e-12       1.021101131071e-19       6.633887580531e-09       1.118273597008e-09      -1.488068880376e-11 
    3       3.048449527229e-10       2.721841808400e-13       2.656921268197e-12       2.058553117435e-19       4.265877409189e-09       7.922233458345e-10      -1.000818258830e-11 
    4       2.605648423836e-10       1.698962626821e-13       2.370990658405e-12       3.466656939845e-19       3.070597090888e-09       6.002291504746e-10      -5.557233238329e-12 
    5       2.301038695507e-10       8.035583440214e-14       1.649763352022e-12       5.265563372755e-19       2.357071348971e-09       4.753017345483e-10      -2.583615210230e-12 
    6       2.091578124943e-10       3.453398639471e-14       9.211478660051e-13       7.479087481729e-19       1.885671185606e-09       3.888851482166e-10      -1.036916803657e-12 
    7       1.943092478203e-10       2.078226753435e-14       4.331681499684e-13       1.013386358258e-18       1.553515428680e-09       3.265241270705e-10      -5.163329725658e-13 
    8       1.832659469063e-10       2.134620793422e-14       2.333339368240e-13       1.325839854763e-18       1.308377984621e-09       2.798028236919e-10      -5.526387835163e-13 
    9       1.746554568553e-10       2.547964211763e-14       2.410866141266e-13       1.688205625446e-18       1.121195940127e-09       2.434842334214e-10      -7.625940673178e-13 
   10       1.677507943518e-10       2.812952962922e-14       3.338290827904e-13       2.103400835012e-18       9.743684573544e-10       2.142656150067e-10      -9.159324410893e-13 
   11       1.622029220563e-10       2.750970864411e-14       4.113678983165e-13       2.574218766037e-18       8.436993846505e-10       1.900146815107e-10      -9.267986020428e-13 
   12       1.578288215386e-10       2.425930818882e-14       4.266547959794e-13       3.103228046943e-18       7.482684025894e-10       1.696374779943e-10      -8.348645171043e-13 
   13       1.545362000290e-10       2.035303794604e-14       3.846153101603e-13       3.692679253522e-18       6.688822991261e-10       1.524166740700e-10      -7.013163993049e-13 
   14       1.520128055910e-10       1.757653797375e-14       3.211730108025e-13       4.344422113542e-18       6.019943922823e-10       1.378054144800e-10      -5.880293368911e-13 
   15       1.500271849328e-10       1.662992684518e-14       2.756713452626e-13       5.059836175171e-18       5.450118558310e-10       1.253480779932e-10      -5.237390662657e-13 
   16       1.484710156250e-10       1.715180481079e-14       2.709062245725e-13       5.839777332107e-18       4.959977763434e-10       1.146249944212e-10      -5.029997324332e-13 
   17       1.471801465137e-10       1.820864954418e-14       3.042715093363e-13       6.684542047768e-18       4.534781487695e-10       1.052563165568e-10      -5.014911273754e-13 
   18       1.461030293993e-10       1.880521744345e-14       3.553824786541e-13       7.593842240705e-18       4.161815310683e-10       9.692585674136e-11      -4.934987442517e-13 
   19       1.453013695401e-10       1.857479567018e-14       4.031259064479e-13       8.566849266303e-18       3.836173850847e-10       8.955313664191e-11      -4.707135190112e-13 
   20       1.447637252255e-10       1.744031967052e-14       4.264522989128e-13       9.602124746748e-18       3.546530469628e-10       8.294363043256e-11      -4.318256106621e-13 
   21       1.444991745633e-10       1.584612021091e-14       4.248546437036e-13       1.069778667906e-17       3.289083276950e-10       7.702322573000e-11      -3.866695098774e-13 
   22       1.444590641460e-10       1.445507048621e-14       4.072300101705e-13       1.185142960865e-17       3.058323368773e-10       7.167018904006e-11      -3.492088636323e-13 
   23       1.445965970335e-10       1.356131422557e-14       3.854139824362e-13       1.306034556181e-17       2.851593660618e-10       6.686144662946e-11      -3.238706264549e-13 
   24       1.448310110042e-10       1.327739478348e-14       3.725263705760e-13       1.432144368893e-17       2.664641230287e-10       6.254227770848e-11      -3.106076063088e-13 
   25       1.451602383287e-10       1.337130328381e-14       3.724824022132e-13       1.563153828587e-17       2.495627991977e-10       5.864848174954e-11      -3.041541572875e-13 
   26       1.455843424864e-10       1.346732898744e-14       3.841862156804e-13       1.698724301283e-17       2.341840871832e-10       5.507706427643e-11      -2.971666866430e-13 
   27       1.461143863100e-10       1.334194502588e-14       3.976722177214e-13       1.838524609286e-17       2.201710753344e-10       5.179204577396e-11      -2.868327532488e-13 
   28       1.467502451096e-10       1.285105487273e-14       4.006836064721e-13       1.982225299652e-17       2.073100210458e-10       4.875752490860e-11      -2.720797842737e-13 
   29       1.475086442206e-10       1.211639423348e-14       3.919770287345e-13       2.129539139772e-17       1.955527328052e-10       4.596944042587e-11      -2.545535080204e-13 
   30       1.483926848327e-10       1.138607513981e-14       3.743195287253e-13       2.280196609018e-17       1.847902943272e-10       4.340890965704e-11      -2.372364775013e-13 
   31       1.493864625977e-10       1.091530317855e-14       3.514606489187e-13       2.433949855625e-17       1.748242266118e-10       4.103638044997e-11      -2.230514338334e-13 
   32       1.504844710237e-10       1.074444696897e-14       3.276047409808e-13       2.590618868431e-17       1.656151760658e-10       3.884362001433e-11      -2.119020818177e-13 
   33       1.516688074747e-10       1.083722935933e-14       3.078814353851e-13       2.750069954728e-17       1.571091116226e-10       3.681692756497e-11      -2.024910624660e-13 
