# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.150071385015e-10       3.608323089206e-14       8.723885219864e-13       0.000000000000e+00       7.393756908090e-09       7.852944952929e-10      -5.297733035922e-12 
    3       1.869984889566e-10       4.088375424135e-14       1.050207990542e-12       0.000000000000e+00       4.706998759269e-09       5.536709937932e-10      -3.784968687819e-12 
    4       1.651749078617e-10       3.037697848663e-14       9.785537845475e-13       0.000000000000e+00       3.336565029010e-09       4.183250272774e-10      -2.248607142099e-12 
    5       1.495595119122e-10       1.701270555445e-14       7.883514523541e-13       0.000000000000e+00       2.526843772007e-09       3.302527215173e-10      -1.065533668910e-12 
    6       1.386824392920e-10       7.892669214683e-15       5.684953052094e-13       0.000000000000e+00       1.999408221522e-09       2.689250220104e-10      -3.036807607530e-13 
    7       1.311809792271e-10       3.673560810275e-15       3.774804251233e-13       0.000000000000e+00       1.632017801499e-09       2.242504592934e-10       8.353774692731e-14 
    8       1.259835740792e-10       2.241102397614e-15       2.424144021489e-13       0.000000000000e+00       1.362845599585e-09       1.905704078138e-10       1.956777144207e-13 
    9       1.224234171210e-10       1.807255099361e-15       1.660923870639e-13       0.000000000000e+00       1.158356322541e-09       1.644779168947e-10       1.458266482107e-13 
   10       1.200178956663e-10       1.653476041934e-15       1.361238821079e-13       0.000000000000e+00       9.987125304563e-10       1.437784100861e-10       3.339485325349e-14 
   11       1.184741042201e-10       1.604104880051e-15       1.343013311455e-13       0.000000000000e+00       8.519628507454e-10       1.270749641992e-10      -6.992701883016e-14 
   12       1.175350927376e-10       1.552147684502e-15       1.437353060819e-13       0.000000000000e+00       7.503162897582e-10       1.129574556790e-10      -1.326721797820e-13 
   13       1.170808998762e-10       1.405682424459e-15       1.528805897187e-13       0.000000000000e+00       6.662773031201e-10       1.010358298157e-10      -1.467990967440e-13 
   14       1.170529226678e-10       1.174059432708e-15       1.565886116587e-13       0.000000000000e+00       5.958811428388e-10       9.092828515020e-11      -1.250975523410e-13 
   15       1.173587787956e-10       9.516700004652e-16       1.550790303283e-13       0.000000000000e+00       5.362419708635e-10       8.219899487650e-11      -8.829510080650e-14 
   16       1.179133060776e-10       8.265152642848e-16       1.518273541146e-13       0.000000000000e+00       4.852209017058e-10       7.475209636591e-11      -5.477839009538e-14 
   17       1.186699314849e-10       8.276490444334e-16       1.510894465441e-13       0.000000000000e+00       4.411887223928e-10       6.820645672733e-11      -3.584068846183e-14 
   18       1.196011108775e-10       9.357070226896e-16       1.558845173931e-13       0.000000000000e+00       4.027539514941e-10       6.247949647535e-11      -3.319494818774e-14 
   19       1.207026852752e-10       1.117797101295e-15       1.663480475325e-13       0.000000000000e+00       3.693659704007e-10       5.751662014754e-11      -4.200174300126e-14 
   20       1.219110457016e-10       1.329157104060e-15       1.810225160065e-13       0.000000000000e+00       3.398045813853e-10       5.309947281975e-11      -5.418667087203e-14 
   21       1.232233576129e-10       1.537472299004e-15       1.971584924066e-13       0.000000000000e+00       3.136468605656e-10       4.915930306069e-11      -6.382842430808e-14 
   22       1.246237645357e-10       1.716387200888e-15       2.113143345574e-13       0.000000000000e+00       2.903038615614e-10       4.561281841351e-11      -6.592535760294e-14 
   23       1.261255911700e-10       1.872300249790e-15       2.219651681369e-13       0.000000000000e+00       2.694828837265e-10       4.241758191466e-11      -6.091523372968e-14 
   24       1.277250367186e-10       2.026571670724e-15       2.284593575972e-13       0.000000000000e+00       2.507312977052e-10       3.951090292560e-11      -5.166991384623e-14 
   25       1.294102351619e-10       2.203207148942e-15       2.316396945229e-13       0.000000000000e+00       2.338481461598e-10       3.688899602260e-11      -4.158741860465e-14 
   26       1.311506026699e-10       2.426962787466e-15       2.330758061855e-13       0.000000000000e+00       2.185467784146e-10       3.453583053718e-11      -3.425409534289e-14 
   27       1.329428505492e-10       2.705016726540e-15       2.342024167931e-13       0.000000000000e+00       2.046585139523e-10       3.240409018938e-11      -3.064871612911e-14 
   28       1.347815814043e-10       3.036873132620e-15       2.362907243992e-13       0.000000000000e+00       1.919589390485e-10       3.042566566490e-11      -3.063147591297e-14 
   29       1.366730705850e-10       3.414490746621e-15       2.391214678640e-13       0.000000000000e+00       1.803924573087e-10       2.859695305160e-11      -3.290112610658e-14 
   30       1.386138676870e-10       3.824495446333e-15       2.418420595831e-13       0.000000000000e+00       1.698440789025e-10       2.692068776766e-11      -3.537539027254e-14 
