# Matter power spectrum P(k) at redshift z=0
# for k=1.23488e-05 to 1.02215 h/Mpc,
# number of wavenumbers equal to 565
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.234876887436e-05       3.030649162871e+01 
       2.957779617396e-05       7.046797190667e+01 
       4.690731336938e-05       1.100153893735e+02 
       6.442085075917e-05       1.494656344862e+02 
       8.220427346872e-05       1.891420949669e+02 
       1.003471468398e-04       2.293107031470e+02 
       1.189441745407e-04       2.702176994903e+02 
       1.380967416264e-04       3.121061052174e+02 
       1.579145946096e-04       3.552253360520e+02 
       1.785176898348e-04       3.998380453621e+02 
       2.000382392405e-04       4.462260255785e+02 
       2.226229777180e-04       4.946955805140e+02 
       2.464356669095e-04       5.455828790562e+02 
       2.716598338444e-04       5.992593016941e+02 
       2.985017157170e-04       6.561368473496e+02 
       3.271933396599e-04       7.166734213456e+02 
       3.579956028102e-04       7.813774597675e+02 
       3.912011271052e-04       8.508120443427e+02 
       4.271365400054e-04       9.255966397413e+02 
       4.661636760733e-04       1.006406468473e+03 
       5.086790144573e-04       1.093967116061e+03 
       5.551104917340e-04       1.189043857175e+03 
       6.059107141971e-04       1.292422071471e+03 
       6.615456287035e-04       1.404879289925e+03 
       7.224780133431e-04       1.527146935684e+03 
       7.891458268782e-04       1.659862156399e+03 
       8.619365376720e-04       1.803515346193e+03 
       9.411598944211e-04       1.958396169881e+03 
       1.027022827488e-03       2.124548775793e+03 
       1.119610740188e-03       2.301743155179e+03 
       1.218878893227e-03       2.489470170803e+03 
       1.324655821698e-03       2.686962546633e+03 
       1.436658235838e-03       2.893239299039e+03 
       1.554514521352e-03       3.107166490213e+03 
       1.677792587018e-03       3.327524504140e+03 
       1.806027735912e-03       3.553071407272e+03 
       1.938747215565e-03       3.782595865246e+03 
       2.075489557870e-03       4.014956511526e+03 
       2.215818197762e-03       4.249105112555e+03 
       2.359329839827e-03       4.484101607033e+03 
       2.505658556261e-03       4.719117086124e+03 
       2.654476739557e-03       4.953431075303e+03 
       2.805493941694e-03       5.186426334302e+03 
       2.958454434926e-03       5.417577503547e+03 
       3.113134111648e-03       5.646441874676e+03 
       3.269337147049e-03       5.872648633229e+03 
       3.426892694854e-03       6.095896789345e+03 
       3.585651774423e-03       6.315935906102e+03 
       3.745484430501e-03       6.532563562943e+03 
       3.906277196955e-03       6.745617165536e+03 
       4.067930865240e-03       6.954968216566e+03 
       4.230358540933e-03       7.160517289616e+03 
       4.393483962949e-03       7.362190360046e+03 
       4.557240056664e-03       7.559934226235e+03 
       4.721567692013e-03       7.753712941206e+03 
       4.886414619253e-03       7.943506350085e+03 
       5.051734557547e-03       8.129307194699e+03 
       5.217486414347e-03       8.311119525219e+03 
       5.383633616342e-03       8.488955837323e+03 
       5.550143535403e-03       8.662836692993e+03 
       5.716986995321e-03       8.832830343835e+03 
       5.884137847253e-03       8.998891102255e+03 
       6.051572603636e-03       9.161080712045e+03 
       6.219270121863e-03       9.319472426921e+03 
       6.387211330413e-03       9.473907763563e+03 
       6.555378991202e-03       9.624713420008e+03 
       6.723757492930e-03       9.771832463581e+03 
       6.892332670968e-03       9.915313569065e+03 
