# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381677193245e-10       4.179731639311e-15       3.519338329702e-13       2.309816201392e-19       8.236367876808e-09       4.535746810443e-10      -1.842359457677e-12 
    3       1.306696391938e-10       5.354811728146e-15       3.955015570071e-13       4.620583129987e-19       5.068757930307e-09       3.217368438180e-10      -1.394919937054e-12 
    4       1.236017875253e-10       4.629636251040e-15       3.698084051198e-13       7.703065527543e-19       3.524741210432e-09       2.436997820217e-10      -9.127420716079e-13 
    5       1.183100781482e-10       3.087195241925e-15       3.148767198962e-13       1.155847847376e-18       2.631980104117e-09       1.925368520019e-10      -5.069340491708e-13 
    6       1.146813398149e-10       1.726131534979e-15       2.535645932953e-13       1.618829687279e-18       2.056887139236e-09       1.566785477827e-10      -2.081013694953e-13 
    7       1.123168679362e-10       9.336982293224e-16       1.990688579553e-13       2.159422813286e-18       1.660292177799e-09       1.303590245567e-10      -1.764539874300e-14 
    8       1.109367494905e-10       6.038793509447e-16       1.571589254864e-13       2.777818126633e-18       1.372926152981e-09       1.103958387452e-10       7.941437922840e-14 
    9       1.102928772808e-10       4.859034757357e-16       1.291081463964e-13       3.474223332520e-18       1.156601649095e-09       9.490316649077e-11       1.064379920610e-13 
   10       1.101545086372e-10       4.150003300345e-16       1.135880757549e-13       4.248859415166e-18       9.888508065290e-10       8.262923229027e-11       8.927941781175e-14 
   11       1.104629393047e-10       3.497497747786e-16       1.079366436375e-13       5.101957045314e-18       8.333804338545e-10       7.300893197658e-11       5.203148022694e-14 
   12       1.110664719798e-10       3.057951149354e-16       1.090961899217e-13       6.033753020676e-18       7.283489598754e-10       6.455587487214e-11       1.227611356250e-14 
   13       1.119147904374e-10       2.941345337955e-16       1.143824390389e-13       7.044486835814e-18       6.421078094760e-10       5.769180552067e-11      -1.798982934903e-14 
   14       1.129605685776e-10       3.068006111111e-16       1.217751119517e-13       8.134397470720e-18       5.703409172397e-10       5.171509837295e-11      -3.451231947979e-14 
   15       1.141904412795e-10       3.320504211032e-16       1.299847367361e-13       9.303720477137e-18       5.099194144804e-10       4.668822650566e-11      -3.750072543627e-14 
   16       1.155291181916e-10       3.673605899485e-16       1.383482299425e-13       1.055268542883e-17       4.585371762199e-10       4.235497977140e-11      -3.091273118842e-14 
   17       1.170042151955e-10       4.182601298577e-16       1.466478167642e-13       1.188151378713e-17       4.144517856770e-10       3.857281803597e-11      -1.994047989165e-14 
   18       1.185525336689e-10       4.901788315106e-16       1.551404255820e-13       1.329041703628e-17       3.761812869085e-10       3.527412804331e-11      -9.473414786802e-15 
   19       1.201853230275e-10       5.834446721344e-16       1.640480040065e-13       1.477959636979e-17       3.431210248429e-10       3.241160516857e-11      -2.117023430312e-15 
   20       1.218953407912e-10       6.960575972605e-16       1.735113021151e-13       1.634923993857e-17       3.139983646734e-10       2.986964349639e-11       4.178269078877e-16 
   21       1.236840714159e-10       8.273748340423e-16       1.834831731605e-13       1.799952535211e-17       2.883573028533e-10       2.760239876842e-11      -1.297259828318e-15 
   22       1.255254539305e-10       9.769054910390e-16       1.937767758394e-13       1.973061666039e-17       2.655859216337e-10       2.555359345033e-11      -5.508461707390e-15 
   23       1.274243654131e-10       1.144848834084e-15       2.040648857002e-13       2.154266827344e-17       2.453721981453e-10       2.371510272323e-11      -1.047332982657e-14 
   24       1.293744511821e-10       1.331436294539e-15       2.139327954729e-13       2.343582189074e-17       2.272498698251e-10       2.207082089611e-11      -1.433774500897e-14 
   25       1.313776581064e-10       1.536753776161e-15       2.230927963448e-13       2.541021208187e-17       2.110064531861e-10       2.060003506030e-11      -1.626981464600e-14 
   26       1.334227323794e-10       1.761075690308e-15       2.312984478532e-13       2.746596258524e-17       1.963485930287e-10       1.926615348256e-11      -1.593287986858e-14 
   27       1.355046567832e-10       2.006416262480e-15       2.384327153460e-13       2.960319165884e-17       1.831009162420e-10       1.805183265192e-11      -1.394330106843e-14 
   28       1.376117126920e-10       2.275307297240e-15       2.444500245400e-13       3.182200955065e-17       1.710354972429e-10       1.693810811769e-11      -1.130856253818e-14 
   29       1.397530606326e-10       2.569154990305e-15       2.494202745035e-13       3.412252717265e-17       1.600910558944e-10       1.592301488494e-11      -8.694735850107e-15 
   30       1.419331504135e-10       2.888993752134e-15       2.534892679464e-13       3.650484888642e-17       1.501504339358e-10       1.500081071842e-11      -6.780478169655e-15 
   31       1.441459632027e-10       3.235823380538e-15       2.568050700577e-13       3.896907246714e-17       1.410112931629e-10       1.415705848911e-11      -6.191141174958e-15 
   32       1.463945081771e-10       3.610701890392e-15       2.593115396097e-13       4.151529996239e-17       1.326266384469e-10       1.338328302159e-11      -6.736423285617e-15 
   33       1.486759529899e-10       4.014679191523e-15       2.608762390499e-13       4.414363071331e-17       1.249373354879e-10       1.266605756992e-11      -7.873598850102e-15 
   34       1.509805648809e-10       4.448721329090e-15       2.613513297512e-13       4.685416002641e-17       1.178359741114e-10       1.198863287849e-11      -9.000936475257e-15 
   35       1.533105466277e-10       4.913545528334e-15       2.606073143474e-13       4.964698442232e-17       1.112863422177e-10       1.135296918046e-11      -9.838901180824e-15 
   36       1.556660582324e-10       5.409714412148e-15       2.585087225888e-13       5.252219835374e-17       1.052360371954e-10       1.076465526501e-11      -1.017387927044e-14 
   37       1.580429910431e-10       5.937762211732e-15       2.549324835481e-13       5.547989234087e-17       9.960648317834e-11       1.022630153859e-11      -9.836398003990e-15 
   38       1.604453688276e-10       6.498509057217e-15       2.498654307350e-13       5.852015092529e-17       9.438322801948e-11       9.735756686024e-12      -8.978538411207e-15 
   39       1.628758975306e-10       7.092844233131e-15       2.433397278291e-13       6.164305417637e-17       8.954978423738e-11       9.286770907932e-12      -7.891995521799e-15 
   40       1.653319185869e-10       7.721640752177e-15       2.354083746029e-13       6.484867831927e-17       8.506015956806e-11       8.869054150616e-12      -6.939730705562e-15 
   41       1.678081893247e-10       8.385710173540e-15       2.261241051119e-13       6.813709280807e-17       8.085489913789e-11       8.471408650059e-12      -6.460874125925e-15 
   42       1.703076787571e-10       9.085651833662e-15       2.154648075975e-13       7.150835025206e-17       7.692168114181e-11       8.093139482158e-12      -6.437144466424e-15 
   43       1.728333297483e-10       9.821952808936e-15       2.033859358332e-13       7.496249331326e-17       7.325011418333e-11       7.735807864925e-12      -6.725578223356e-15 
   44       1.753846818235e-10       1.059502384863e-14       1.898404904899e-13       7.849955726998e-17       6.981355248369e-11       7.400004359505e-12      -7.146639735373e-15 
   45       1.779594623166e-10       1.140524013279e-14       1.747803507166e-13       8.211956624533e-17       6.657862533540e-11       7.085485368933e-12      -7.523983700622e-15 
   46       1.805597247702e-10       1.225308766151e-14       1.581614192583e-13       8.582252089367e-17       6.354027269117e-11       6.791841664938e-12      -7.823244135158e-15 
   47       1.831869698566e-10       1.313905371118e-14       1.399395278015e-13       8.960840678348e-17       6.069498225342e-11       6.517877870568e-12      -8.050893393446e-15 
   48       1.858401535613e-10       1.406358436099e-14       1.200687637119e-13       9.347719735641e-17       5.803022159968e-11       6.261329752261e-12      -8.215977698738e-15 
