# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381672462290e-10       4.179500657648e-15       3.519338369753e-13       0.000000000000e+00       8.236367876808e-09       4.535746810443e-10      -1.842359457677e-12 
    3       1.306686952947e-10       5.354349669408e-15       3.955015748580e-13       0.000000000000e+00       5.068757930307e-09       3.217368438180e-10      -1.394919937054e-12 
    4       1.236002193909e-10       4.628865942403e-15       3.698084564212e-13       0.000000000000e+00       3.524741210432e-09       2.436997820217e-10      -9.127420716079e-13 
    5       1.183077352314e-10       3.086039386946e-15       3.148768367912e-13       0.000000000000e+00       2.631980104117e-09       1.925368520019e-10      -5.069340491708e-13 
    6       1.146780750315e-10       1.724512685866e-15       2.535648232077e-13       0.000000000000e+00       2.056887139236e-09       1.566785477827e-10      -2.081013694953e-13 
    7       1.123125381567e-10       9.315387613716e-16       1.990692660936e-13       0.000000000000e+00       1.660292177799e-09       1.303590245567e-10      -1.764539874300e-14 
    8       1.109312159329e-10       6.011014396535e-16       1.571595970765e-13       0.000000000000e+00       1.372926152981e-09       1.103958387452e-10       7.941437922840e-14 
    9       1.102860057993e-10       4.824290770747e-16       1.291091886198e-13       0.000000000000e+00       1.156601649095e-09       9.490316649077e-11       1.064379920610e-13 
   10       1.101461699023e-10       4.107511643914e-16       1.135896193778e-13       0.000000000000e+00       9.888508065290e-10       8.262923229027e-11       8.927941781175e-14 
   11       1.104530088754e-10       3.446473150648e-16       1.079388443251e-13       0.000000000000e+00       8.333804338545e-10       7.300893197658e-11       5.203148022694e-14 
   12       1.110548302727e-10       2.997605793250e-16       1.090992292389e-13       0.000000000000e+00       7.283489598754e-10       6.455587487214e-11       1.227611356250e-14 
   13       1.119013225984e-10       2.870888835210e-16       1.143865251483e-13       0.000000000000e+00       6.421078094760e-10       5.769180552067e-11      -1.798982934903e-14 
   14       1.129451642679e-10       2.986645536769e-16       1.217804800226e-13       0.000000000000e+00       5.703409172397e-10       5.171509837295e-11      -3.451231947979e-14 
   15       1.141729943898e-10       3.227444191948e-16       1.299916490869e-13       0.000000000000e+00       5.099194144804e-10       4.668822650566e-11      -3.750072543627e-14 
   16       1.155095264983e-10       3.568048762114e-16       1.383569759393e-13       0.000000000000e+00       4.585371762199e-10       4.235497977140e-11      -3.091273118842e-14 
   17       1.169823799765e-10       4.063747276023e-16       1.466587125031e-13       0.000000000000e+00       4.144517856770e-10       3.857281803597e-11      -1.994047989165e-14 
   18       1.185283592891e-10       4.768835811474e-16       1.551538133693e-13       0.000000000000e+00       3.761812869085e-10       3.527412804331e-11      -9.473414786802e-15 
   19       1.201587165588e-10       5.686592638485e-16       1.640642517281e-13       0.000000000000e+00       3.431210248429e-10       3.241160516857e-11      -2.117023430312e-15 
   20       1.218662115583e-10       6.797016077943e-16       1.735308023411e-13       0.000000000000e+00       3.139983646734e-10       2.986964349639e-11       4.178269078877e-16 
   21       1.236523306889e-10       8.093677692869e-16       1.835063422855e-13       0.000000000000e+00       2.883573028533e-10       2.760239876842e-11      -1.297259828318e-15 
   22       1.254910145329e-10       9.571668326667e-16       1.938040529363e-13       0.000000000000e+00       2.655859216337e-10       2.555359345033e-11      -5.508461707390e-15 
   23       1.273871415199e-10       1.123298088865e-15       2.040967314420e-13       0.000000000000e+00       2.453721981453e-10       2.371510272323e-11      -1.047332982657e-14 
   24       1.293343580325e-10       1.307993047938e-15       2.139696907582e-13       0.000000000000e+00       2.272498698251e-10       2.207082089611e-11      -1.433774500897e-14 
   25       1.313346119573e-10       1.511337744520e-15       2.231352409910e-13       0.000000000000e+00       2.110064531861e-10       2.060003506030e-11      -1.626981464600e-14 
   26       1.333766503529e-10       1.733606778639e-15       2.313469589838e-13       0.000000000000e+00       1.963485930287e-10       1.926615348256e-11      -1.593287986858e-14 
   27       1.354554569353e-10       1.976814618549e-15       2.384878257729e-13       0.000000000000e+00       1.831009162420e-10       1.805183265192e-11      -1.394330106843e-14 
   28       1.375593140144e-10       2.243493369439e-15       2.445122808493e-13       0.000000000000e+00       1.710354972429e-10       1.693810811769e-11      -1.130856253818e-14 
   29       1.396973833602e-10       2.535049570726e-15       2.494902350058e-13       0.000000000000e+00       1.600910558944e-10       1.592301488494e-11      -8.694735850107e-15 
   30       1.418741161280e-10       2.852518035408e-15       2.535675003942e-13       0.000000000000e+00       1.501504339358e-10       1.500081071842e-11      -6.780478169655e-15 
   31       1.440834949471e-10       3.196899022005e-15       2.568921490748e-13       0.000000000000e+00       1.410112931629e-10       1.415705848911e-11      -6.191141174958e-15 
   32       1.463285308819e-10       3.569251035392e-15       2.594080436191e-13       0.000000000000e+00       1.326266384469e-10       1.338328302159e-11      -6.736423285617e-15 
   33       1.486063937455e-10       3.970624526701e-15       2.609827472217e-13       0.000000000000e+00       1.249373354879e-10       1.266605756992e-11      -7.873598850102e-15 
   34       1.509073531726e-10       4.401986135399e-15       2.614684186285e-13       0.000000000000e+00       1.178359741114e-10       1.198863287849e-11      -9.000936475257e-15 
   35       1.532336146323e-10       4.864053706571e-15       2.607355535262e-13       0.000000000000e+00       1.112863422177e-10       1.135296918046e-11      -9.838901180824e-15 
   36       1.555853411211e-10       5.357390528922e-15       2.586486706838e-13       0.000000000000e+00       1.052360371954e-10       1.076465526501e-11      -1.017387927044e-14 
   37       1.579584272072e-10       5.882531548727e-15       2.550846838109e-13       0.000000000000e+00       9.960648317834e-11       1.022630153859e-11      -9.836398003990e-15 
   38       1.603568997999e-10       6.440297642462e-15       2.500304053114e-13       0.000000000000e+00       9.438322801948e-11       9.735756686024e-12      -8.978538411207e-15 
   39       1.627834681488e-10       7.031578886046e-15       2.435179725533e-13       0.000000000000e+00       8.954978423738e-11       9.286770907932e-12      -7.891995521799e-15 
   40       1.652354772640e-10       7.657249134526e-15       2.356003538597e-13       0.000000000000e+00       8.506015956806e-11       8.869054150616e-12      -6.939730705562e-15 
   41       1.677076881415e-10       8.318120844197e-15       2.263302462114e-13       0.000000000000e+00       8.085489913789e-11       8.471408650059e-12      -6.460874125925e-15 
   42       1.702030729047e-10       9.014794314194e-15       2.156854940579e-13       0.000000000000e+00       7.692168114181e-11       8.093139482158e-12      -6.437144466424e-15 
   43       1.727245774426e-10       9.747757643341e-15       2.036215010081e-13       0.000000000000e+00       7.325011418333e-11       7.735807864925e-12      -6.725578223356e-15 
   44       1.752717444046e-10       1.051742266149e-14       1.900912111729e-13       0.000000000000e+00       6.981355248369e-11       7.400004359505e-12      -7.146639735373e-15 
   45       1.778423041425e-10       1.132416570579e-14       1.750464409547e-13       0.000000000000e+00       6.657862533540e-11       7.085485368933e-12      -7.523983700622e-15 
   46       1.804383124021e-10       1.216847406917e-14       1.584430254587e-13       0.000000000000e+00       6.354027269117e-11       6.791841664938e-12      -7.823244135158e-15 
   47       1.830612717514e-10       1.305083641689e-14       1.402367225040e-13       0.000000000000e+00       6.069498225342e-11       6.517877870568e-12      -8.050893393446e-15 
   48       1.857101399523e-10       1.397170029930e-14       1.203815387154e-13       0.000000000000e+00       5.803022159968e-11       6.261329752261e-12      -8.215977698738e-15 
   49       1.883811025755e-10       1.493147066793e-14       9.882953577668e-14       0.000000000000e+00       5.552376727443e-11       6.018787951016e-12      -8.330277207286e-15 
   50       1.910697335215e-10       1.593048198974e-14       7.553599492311e-14       0.000000000000e+00       5.315040318931e-11       5.786672352509e-12      -8.408765195712e-15 
   51       1.937786954832e-10       1.696890910956e-14       5.047701254767e-14       0.000000000000e+00       5.090571581883e-11       5.564643939541e-12      -8.470761214169e-15 
   52       1.965117366382e-10       1.804682962716e-14       2.363634582016e-14       0.000000000000e+00       4.878759823562e-11       5.352987213028e-12      -8.539367624360e-15 
   53       1.992713731435e-10       1.916424552256e-14      -4.999471094391e-15       0.000000000000e+00       4.678912888991e-11       5.151614305094e-12      -8.641367842987e-15 
