# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381699796412e-10       4.168374829410e-15       3.512816250424e-13       0.000000000000e+00       8.182355369639e-09       4.536999403494e-10      -1.840773600000e-12 
    3       1.306663951162e-10       5.340883497142e-15       3.950253167772e-13       0.000000000000e+00       5.070512900476e-09       3.219360658688e-10      -1.393056093209e-12 
    4       1.236003454770e-10       4.616445631391e-15       3.693299108317e-13       0.000000000000e+00       3.530691585477e-09       2.437918327569e-10      -9.113773569088e-13 
    5       1.183102784978e-10       3.077677240498e-15       3.144834350046e-13       0.000000000000e+00       2.635133100924e-09       1.925628656070e-10      -5.061537792336e-13 
    6       1.146825968375e-10       1.719946993238e-15       2.532641016727e-13       0.000000000000e+00       2.057889553707e-09       1.566732484575e-10      -2.077318216418e-13 
    7       1.123183075379e-10       9.292474621748e-16       1.988587492844e-13       0.000000000000e+00       1.660697439033e-09       1.303456180218e-10      -1.755438784761e-14 
    8       1.109382744343e-10       5.997730680719e-16       1.570263841527e-13       0.000000000000e+00       1.373262089514e-09       1.103921025011e-10       7.935583930936e-14 
    9       1.102939790999e-10       4.814402026711e-16       1.290356724633e-13       0.000000000000e+00       1.156986144464e-09       9.491642462958e-11       1.063353097601e-13 
   10       1.101550073494e-10       4.099504967291e-16       1.135672886254e-13       0.000000000000e+00       9.894855911260e-10       8.265965038964e-11       8.921047682695e-14 
   11       1.104623270804e-10       3.440263043550e-16       1.079267463454e-13       0.000000000000e+00       8.333815378216e-10       7.302185444917e-11       5.203738035998e-14 
   12       1.110643419871e-10       2.993015501010e-16       1.090979841559e-13       0.000000000000e+00       7.283498599373e-10       6.456764783834e-11       1.235054644878e-14 
   13       1.119109200620e-10       2.867264265265e-16       1.144009007486e-13       0.000000000000e+00       6.421087738914e-10       5.769749974577e-11      -1.789391165725e-14 
   14       1.129544645318e-10       2.983656672166e-16       1.217892938775e-13       0.000000000000e+00       5.703418309950e-10       5.171363314885e-11      -3.444950186027e-14 
   15       1.141823674605e-10       3.225480891316e-16       1.299863992565e-13       0.000000000000e+00       5.099203258615e-10       4.668148530286e-11      -3.749118662243e-14 
   16       1.155190239398e-10       3.567517490782e-16       1.383730976645e-13       0.000000000000e+00       4.585379787123e-10       4.234579837967e-11      -3.092676768076e-14 
   17       1.169920471427e-10       4.064023141760e-16       1.467153655729e-13       0.000000000000e+00       4.144525981402e-10       3.856337230218e-11      -1.992375486463e-14 
   18       1.185382353080e-10       4.769288093426e-16       1.552193688319e-13       0.000000000000e+00       3.761818951343e-10       3.526546383202e-11      -9.394489296730e-15 
   19       1.201688600584e-10       5.687664978332e-16       1.641153181907e-13       0.000000000000e+00       3.431217977892e-10       3.240448930732e-11      -1.986928547003e-15 
   20       1.218767214171e-10       6.800184752168e-16       1.735757914568e-13       0.000000000000e+00       3.139991729020e-10       2.986469270914e-11       5.435419735725e-16 
   21       1.236632819506e-10       8.098698461325e-16       1.835640410970e-13       0.000000000000e+00       2.883580208876e-10       2.759988704266e-11      -1.222197212485e-15 
   22       1.255024116810e-10       9.576003772098e-16       1.938907696190e-13       0.000000000000e+00       2.655865909701e-10       2.555326508091e-11      -5.496994294298e-15 
   23       1.273988592723e-10       1.123562447519e-15       2.041981673839e-13       0.000000000000e+00       2.453728628794e-10       2.371595382033e-11      -1.050639486189e-14 
   24       1.293461555440e-10       1.308256937677e-15       2.140395296333e-13       0.000000000000e+00       2.272505239629e-10       2.207114939851e-11      -1.436908797696e-14 
   25       1.313463967259e-10       1.511779504194e-15       2.231604901528e-13       0.000000000000e+00       2.110070827958e-10       2.059848745788e-11      -1.626958733344e-14 
   26       1.333885441962e-10       1.734316891528e-15       2.313669014775e-13       0.000000000000e+00       1.963491904745e-10       1.926224282765e-11      -1.590265524741e-14 
   27       1.354675467615e-10       1.977788230643e-15       2.385469457124e-13       0.000000000000e+00       1.831014819654e-10       1.804616130757e-11      -1.389694966165e-14 
   28       1.375715833138e-10       2.244640673059e-15       2.446400414700e-13       0.000000000000e+00       1.710360396244e-10       1.693232528880e-11      -1.126462407752e-14 
   29       1.397098330178e-10       2.536320598612e-15       2.496843796214e-13       0.000000000000e+00       1.600915827750e-10       1.591858071236e-11      -8.664772424035e-15 
   30       1.418868102248e-10       2.853958090666e-15       2.537814220803e-13       0.000000000000e+00       1.501509490483e-10       1.499846455185e-11      -6.763009759577e-15 
   31       1.440965494812e-10       3.198629182463e-15       2.570429630888e-13       0.000000000000e+00       1.410117958677e-10       1.415674317892e-11      -6.172120260383e-15 
   32       1.463420101332e-10       3.571284058837e-15       2.594524738620e-13       0.000000000000e+00       1.326271280687e-10       1.338466728199e-11      -6.704896328200e-15 
   33       1.486202621126e-10       3.972780048291e-15       2.609521806449e-13       0.000000000000e+00       1.249378127466e-10       1.266867630542e-11      -7.828025328743e-15 
