# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381704527852e-10       4.168605913462e-15       3.512816210423e-13       2.310840097766e-19       8.182355369639e-09       4.536999403494e-10      -1.840773600000e-12 
    3       1.306673391118e-10       5.341345760551e-15       3.950252989481e-13       4.622629843043e-19       5.070512900476e-09       3.219360658688e-10      -1.393056093209e-12 
    4       1.236019137706e-10       4.617216280919e-15       3.693298595916e-13       7.706474389916e-19       3.530691585477e-09       2.437918327569e-10      -9.113773569088e-13 
    5       1.183126216507e-10       3.078833606404e-15       3.144833182450e-13       1.156358757895e-18       2.635133100924e-09       1.925628656070e-10      -5.061537792336e-13 
    6       1.146858619467e-10       1.721566557004e-15       2.532638720170e-13       1.619544292967e-18       2.057889553707e-09       1.566732484575e-10      -2.077318216418e-13 
    7       1.123226377450e-10       9.314078820637e-16       1.988583415820e-13       2.160374641784e-18       1.660697439033e-09       1.303456180218e-10      -1.755438784761e-14 
    8       1.109438085319e-10       6.025522020337e-16       1.570257132436e-13       2.779040568180e-18       1.373262089514e-09       1.103921025011e-10       7.935583930936e-14 
    9       1.103008512434e-10       4.849161280930e-16       1.290346312346e-13       3.475749656743e-18       1.156986144464e-09       9.491642462958e-11       1.063353097601e-13 
   10       1.101633468768e-10       4.142015265304e-16       1.135657463758e-13       4.250722798590e-18       9.894855911260e-10       8.265965038964e-11       8.921047682695e-14 
   11       1.104722584399e-10       3.491309989270e-16       1.079245474632e-13       5.104190608860e-18       8.333815378216e-10       7.302185444917e-11       5.203738035998e-14 
