# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08693 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833536761419e+01 
       2.327011508745e-05       1.050320777828e+02 
       3.616461595868e-05       1.608044200370e+02 
       4.913859914576e-05       2.162244228181e+02 
       6.222715718549e-05       2.716215521015e+02 
       7.546626219327e-05       3.272451117775e+02 
       8.889308716447e-05       3.833098360105e+02 
       1.025463414394e-04       4.400146138479e+02 
       1.164666246188e-04       4.975521190589e+02 
       1.306968032503e-04       5.561146750969e+02 
       1.452824146126e-04       6.158983768492e+02 
       1.602721018695e-04       6.771062776758e+02 
       1.757180846903e-04       7.399511890034e+02 
       1.916766690801e-04       8.046581613990e+02 
       2.082087995217e-04       8.714670015643e+02 
       2.253806554906e-04       9.406346159320e+02 
       2.432642927844e-04       1.012437550697e+03 
       2.619383277146e-04       1.087174357111e+03 
       2.814886587572e-04       1.165168090694e+03 
       3.020092154455e-04       1.246768793192e+03 
       3.236027177344e-04       1.332355766546e+03 
       3.463814203818e-04       1.422339750030e+03 
       3.704678057020e-04       1.517164551105e+03 
       3.959951740998e-04       1.617308376044e+03 
       4.231080650863e-04       1.723283874346e+03 
       4.519624225113e-04       1.835637379531e+03 
       4.827253977801e-04       1.954946359879e+03 
       5.155746662985e-04       2.081814803332e+03 
       5.506971192199e-04       2.216865805453e+03 
       5.882867903944e-04       2.360731852822e+03 
       6.285418944041e-04       2.514040817835e+03 
       6.716608934742e-04       2.677399059896e+03 
       7.178375853542e-04       2.851370684521e+03 
       7.672553131101e-04       3.036454512757e+03 
       8.200805352960e-04       3.233059077118e+03 
       8.764561442547e-04       3.441477516706e+03 
       9.364950528925e-04       3.661865785401e+03 
       1.000274650389e-03       3.894223631716e+03 
       1.067832721425e-03       4.138383757543e+03 
       1.139165313078e-03       4.394009406737e+03 
       1.214226825979e-03       4.660600203779e+03 
       1.292932337674e-03       4.937508077102e+03 
       1.375161892716e-03       5.223941185319e+03 
       1.460766274341e-03       5.519026090236e+03 
       1.549573648675e-03       5.821845859387e+03 
       1.641396457597e-03       6.131427599871e+03 
       1.736038015388e-03       6.446788489693e+03 
       1.833298403116e-03       6.766960901650e+03 
       1.932979414483e-03       7.091009498956e+03 
       2.034888455306e-03       7.418047357333e+03 
       2.138841416068e-03       7.747244083443e+03 
       2.244664615965e-03       8.077833097665e+03 
       2.352195959788e-03       8.409113243414e+03 
       2.461285463264e-03       8.740449828680e+03 
       2.571795297108e-03       9.071271461386e+03 
       2.683599483209e-03       9.401067382393e+03 
       2.796583354430e-03       9.729383652826e+03 
       2.910642866714e-03       1.005581846894e+04 
       3.025683831198e-03       1.038001900875e+04 
       3.141621115935e-03       1.070167422444e+04 
       3.258377852118e-03       1.102051397359e+04 
       3.375884668166e-03       1.133630134039e+04 
       3.494078966325e-03       1.164883245825e+04 
       3.612904250014e-03       1.195793005068e+04 
       3.732309505628e-03       1.226344354578e+04 
       3.852248639374e-03       1.256524218907e+04 
       3.972679967648e-03       1.286321818553e+04 
       4.093565758189e-03       1.315727798898e+04 
       4.214871818511e-03       1.344734729531e+04 
       4.336567127767e-03       1.373336178811e+04 
       4.458623508117e-03       1.401527394596e+04 
       4.581015331769e-03       1.429304334084e+04 
       4.703719260029e-03       1.456663797628e+04 
       4.826714010977e-03       1.483598899845e+04 
       4.949980152640e-03       1.510118925201e+04 
       5.073499918834e-03       1.536214886683e+04 
       5.197257045129e-03       1.561888906434e+04 
       5.321236622639e-03       1.587144925946e+04 
       5.445424967626e-03       1.611984258216e+04 
       5.569809505084e-03       1.636402085161e+04 
       5.694378664727e-03       1.660328506754e+04 
       5.819121787949e-03       1.683912179690e+04 
       5.944029044513e-03       1.707081788734e+04 
       6.069091357874e-03       1.729834941700e+04 
       6.194300338150e-03       1.752187390035e+04 
